K,MSE,ITERATIONS,EXECUTION TIME
2,31.67079019240231,1612,0.9081480503082275
3,29.725376730039454,1419,0.5430088043212891
4,28.589037622964472,924,0.3582494258880615
5,27.611316119942426,664,0.2926208972930908
6,26.754647513365047,526,0.24287748336791992
7,25.913181356490103,555,0.25713562965393066
8,25.152336262671085,500,0.25000786781311035
9,24.40544072672602,498,0.24246430397033691
10,23.851203504046467,450,0.2363743782043457
11,23.378189692459127,295,0.17914462089538574
12,22.856148525456383,351,0.20341014862060547
13,22.41209361856808,310,0.19467520713806152
14,21.970168401973382,349,0.21049022674560547
15,21.585096484521728,284,0.19132637977600098
16,21.204252215085113,300,0.1996760368347168
17,20.85627874228456,279,0.1924440860748291
18,20.51849324610628,237,0.16800236701965332
19,20.211285111580004,280,0.20480728149414062
20,19.90441189147512,278,0.21102023124694824
21,19.61114358481982,251,0.20747661590576172
22,19.334509047821882,259,0.21038484573364258
23,19.059063337166577,256,0.23338842391967773
24,18.776743662777857,235,0.20792531967163086
25,18.507230390961666,237,0.2277848720550537
26,18.241248215484895,223,0.21468687057495117
27,17.986015009269117,202,0.19954657554626465
28,17.727648409032867,235,0.23331117630004883
29,17.463137834685618,228,0.23410749435424805
30,17.22532926091055,210,0.22372961044311523
31,17.00465156911426,211,0.22673988342285156
32,16.782292098588286,200,0.21668004989624023
33,16.571930099054498,220,0.24024343490600586
34,16.3623985069252,196,0.22726774215698242
35,16.143881124734786,205,0.24535202980041504
36,15.937661200906657,184,0.2487013339996338
37,15.73808184847355,166,0.23317646980285645
38,15.558127462680407,179,0.2497265338897705
39,15.36127584605302,177,0.23410248756408691
40,15.183226455176747,174,0.2349393367767334
41,15.009356202569151,174,0.24071240425109863
42,14.814295236376852,184,0.2563014030456543
43,14.639915173260396,168,0.24233722686767578
44,14.472896721376125,168,0.24921298027038574
45,14.303554316623686,186,0.2751917839050293
46,14.13926662959643,174,0.25778913497924805
47,13.991278227480262,177,0.2592606544494629
48,13.823960913127895,176,0.25873613357543945
49,13.662739661062108,174,0.2758622169494629
50,13.523542883893427,156,0.25818800926208496
