K,MSE,ITERATIONS,EXECUTION TIME
2,31.67079019240231,1418,0.911865234375
3,29.708993544039814,1211,0.8803133964538574
4,28.555217429239793,1360,1.0856294631958008
5,27.543328779172448,1367,1.2562344074249268
6,26.74377713956526,1525,1.4100427627563477
7,25.901064370568136,1393,1.497093677520752
8,25.13053315073482,1248,1.6153757572174072
9,24.624465970809478,1294,1.7877933979034424
10,23.96589129384483,1234,1.9969005584716797
11,23.576962160216972,1281,2.042750358581543
12,23.185361005968396,1314,2.255666732788086
13,22.5405232174381,1244,2.3711864948272705
14,22.319672373402266,1191,2.488412857055664
15,21.83225326724322,1292,2.685375928878784
16,21.51950103735457,1133,2.7777836322784424
17,21.25606562798755,1246,2.9797749519348145
18,20.87398052807728,1191,3.100450277328491
19,20.500031993745367,1094,3.2121291160583496
20,20.31809247180974,1138,3.399761438369751
21,20.115351524998424,1126,3.541485548019409
22,19.77891663772681,1120,3.7199947834014893
23,19.41177469087073,1151,3.871706008911133
24,19.135771884715737,1054,4.017725706100464
25,18.708480885280753,1073,4.165678024291992
26,18.46092456619985,1072,4.336299896240234
27,18.309527959259363,1039,4.4337029457092285
28,18.323541704334573,1034,4.614836931228638
29,18.065270683995116,982,4.769689559936523
30,17.72281654382204,1016,4.956065893173218
31,17.576101620620022,1021,5.06683087348938
32,17.022080736900378,967,5.186541795730591
33,17.075257524135097,944,5.350273370742798
34,16.943820789184564,987,5.530254602432251
35,16.884884437587324,955,5.669309854507446
36,16.575762202888676,912,5.82556939125061
37,16.3246309988307,900,5.955343246459961
38,16.26821388583423,889,6.069379568099976
39,15.947094357495358,923,6.288439989089966
40,15.887862567354812,892,6.421464681625366
41,15.434535178907685,927,6.590116024017334
42,15.719409141740924,886,6.796627521514893
43,15.369327546079173,908,6.973184108734131
44,15.33085523988116,841,7.065754413604736
45,15.080152088657416,881,7.236212253570557
46,15.032146521977182,844,7.408724308013916
47,14.844688407493603,818,7.590587377548218
48,14.666711661838603,757,7.644922256469727
49,14.358835632260007,785,7.824556589126587
50,14.059834103787203,787,8.10518193244934
