K,MSE,ITERATIONS,EXECUTION TIME
2,31.67079019240231,1325,0.5718555450439453
3,29.70970563276328,1357,0.529961109161377
4,28.5721856701921,1337,0.5258138179779053
5,27.53467325683059,1393,0.5669670104980469
6,26.675662982796226,1390,0.5910189151763916
7,25.93895389743011,1459,0.6266138553619385
8,25.155063122964478,1451,0.6473286151885986
9,24.5368999790336,1396,0.6354129314422607
10,24.063739805258813,1363,0.6549961566925049
11,23.479055657778023,1278,0.6696968078613281
12,23.305475878410874,1308,0.7083754539489746
13,22.7880515792072,1269,0.7173347473144531
14,22.233611302937547,1297,0.7699000835418701
15,21.83555446317687,1329,0.8030741214752197
16,21.606108501463837,1256,0.7999060153961182
17,21.210662169514386,1269,0.8151636123657227
18,20.877984273130437,1186,0.8017380237579346
19,20.708621585004664,1187,0.8432786464691162
20,20.227120509658658,1213,0.8947689533233643
21,19.871023728812204,1194,0.8903143405914307
22,19.49292211435162,1216,0.9299333095550537
23,19.394409997255643,1165,0.9396016597747803
24,19.158378971487224,1161,0.9652872085571289
25,18.75894492655969,1111,0.9698324203491211
26,18.649408435017463,1087,0.9854245185852051
27,18.583298914224127,1045,1.0197234153747559
28,18.33352631768999,1077,1.0399017333984375
29,18.03405219287468,1089,1.0901930332183838
30,17.591891818533632,1089,1.1298425197601318
31,17.649951116001375,1030,1.1026558876037598
32,17.283724518999197,1051,1.1304168701171875
33,17.11114509982815,982,1.2473533153533936
34,16.90293104130037,1026,1.214897632598877
35,16.777372013219,1054,1.2051844596862793
36,16.45731499010367,951,1.1621370315551758
37,16.337301993952128,1032,1.2999565601348877
38,16.230774637690608,913,1.384927749633789
39,16.078824919901173,979,1.2909040451049805
40,15.88865667531513,970,1.40305757522583
41,15.604772952279134,926,1.4283010959625244
42,15.663205472215001,921,1.3821873664855957
43,15.433370402819886,898,1.4381940364837646
44,15.437933081429627,851,1.3668019771575928
45,15.125536139899927,919,1.4276821613311768
46,14.976185354727635,856,1.4319493770599365
47,15.041288415228653,890,1.4413306713104248
48,14.884600901129033,886,1.4828224182128906
49,14.517440939363075,854,1.441303014755249
50,14.5669243753687,839,1.4169061183929443
