K,MSE,ITERATIONS,EXECUTION TIME
2,390.10828244063885,102,0.2053666114807129
3,388.61820051500484,102,0.20869803428649902
4,387.0662551240793,101,0.20206403732299805
5,386.05853335798355,100,0.19797873497009277
6,384.5434301297,102,0.20592355728149414
7,383.5353206865493,100,0.20002532005310059
8,382.5301789790341,100,0.20790314674377441
9,381.52136940124694,100,0.20893287658691406
10,380.51455697920034,100,0.21651983261108398
11,379.5101913724701,100,0.20769000053405762
12,378.50462219766,100,0.21603727340698242
13,377.4997558010268,100,0.21726608276367188
14,376.4943528109433,100,0.22579360008239746
15,375.4865556722699,100,0.22736692428588867
16,374.4835275769518,100,0.2307755947113037
17,373.4808866897942,100,0.2418055534362793
18,372.47608010528046,100,0.24128437042236328
19,371.47018797128857,100,0.24206018447875977
20,370.4643698293828,100,0.2500905990600586
21,369.4589116046246,100,0.24987578392028809
22,368.4601194916485,100,0.25048184394836426
23,367.45516070291603,100,0.25718212127685547
24,366.45656410859016,100,0.24219846725463867
25,365.45528808506424,100,0.2668144702911377
26,364.4495998593345,100,0.2594180107116699
27,363.44335993417565,100,0.2572352886199951
28,362.4425331602341,100,0.25793027877807617
29,361.442838732365,100,0.2666456699371338
30,360.44219860675315,100,0.2667829990386963
31,359.44303521370784,100,0.2662043571472168
32,358.4414241375053,100,0.26683664321899414
33,357.4408564606813,100,0.26705193519592285
34,356.4411168959133,100,0.28537917137145996
35,355.43868684727784,100,0.26681995391845703
36,354.438171275154,100,0.2348613739013672
37,353.43928740689813,100,0.23891806602478027
38,352.4369529953191,100,0.24201655387878418
39,351.43724454329526,100,0.24237942695617676
40,350.438316433604,100,0.2586402893066406
41,349.43809916250257,100,0.2490708827972412
42,348.43867107527956,100,0.25002169609069824
43,347.43917579439074,100,0.25779247283935547
44,346.43714623157564,100,0.25885581970214844
45,345.43854461790676,100,0.2498486042022705
46,344.4390808638982,100,0.2667429447174072
47,343.4381721068151,100,0.2581467628479004
48,342.43598365109983,100,0.2752256393432617
49,341.43696936123797,100,0.2662947177886963
50,340.43585597469854,100,0.26665806770324707
