K,MSE,ITERATIONS,EXECUTION TIME
2,398.0000000000001,100,0.3721888065338135
3,396.99999999999994,100,0.31405067443847656
4,396.0,100,0.30039167404174805
5,395.0,100,0.3696269989013672
6,394.0,100,0.32686471939086914
7,393.0,100,0.34195995330810547
8,391.9999999999999,100,0.3807671070098877
9,391.00000000000006,100,0.35002613067626953
10,389.9999999999999,100,0.27946019172668457
11,389.0,100,0.4023466110229492
12,388.0,100,0.3901371955871582
13,386.9999999999999,100,0.3220102787017822
14,386.0,100,0.3806147575378418
15,385.0,100,0.31708598136901855
16,384.00000000000006,100,0.3514091968536377
17,383.0,100,0.3665907382965088
18,382.00000000000006,100,0.408236026763916
19,380.99999999999994,100,0.41582775115966797
20,380.0,100,0.3260185718536377
21,378.9999999999999,100,0.3234131336212158
22,377.9999999999999,100,0.36149072647094727
23,376.99999999999994,100,0.3904104232788086
24,376.0,100,0.4418935775756836
25,374.99999999999994,100,0.31885814666748047
26,374.0,100,0.37447357177734375
27,373.0,100,0.39289331436157227
28,372.0,100,0.39403581619262695
29,371.0,100,0.41255736351013184
30,370.0,100,0.42289280891418457
31,369.0,100,0.39841580390930176
32,368.0,100,0.32321858406066895
33,367.0,100,0.36501240730285645
34,366.0,100,0.3266005516052246
35,365.00000000000006,100,0.3237738609313965
36,364.0,100,0.32726287841796875
37,363.00000000000006,100,0.43600893020629883
38,361.99999999999994,100,0.43743300437927246
39,361.0,100,0.3450934886932373
40,360.0,100,0.29236316680908203
41,358.9999999999999,100,0.356290340423584
42,357.9999999999999,100,0.352794885635376
43,356.9999999999999,100,0.3989706039428711
44,356.0,100,0.40317749977111816
45,355.0,100,0.36211156845092773
46,353.9999999999999,100,0.3450145721435547
47,353.0,100,0.39702916145324707
48,352.0,100,0.5067636966705322
49,350.9999999999999,100,0.4002952575683594
50,350.0,100,0.42656517028808594
