K,MSE,ITERATIONS,EXECUTION TIME
2,1.5765425404268285e-05,4698,2.7785446643829346
3,1.4942303006804103e-05,4097,1.6341900825500488
4,1.4364154143020613e-05,2788,1.1056275367736816
5,1.3911475324146494e-05,1754,0.7175896167755127
6,1.364384742463809e-05,1151,0.535067081451416
7,1.3389586668077769e-05,1090,0.5345587730407715
8,1.3183449530829172e-05,1097,0.5551087856292725
9,1.2986502979095427e-05,948,0.5146012306213379
10,1.281629698224318e-05,950,0.530604362487793
11,1.2651531066998345e-05,964,0.5521306991577148
12,1.2482042981654118e-05,938,0.5616142749786377
13,1.2317807874140385e-05,860,0.5447583198547363
14,1.2139613627892842e-05,839,0.5495824813842773
15,1.1986832380017631e-05,811,0.5470983982086182
16,1.1834502872565267e-05,800,0.56056809425354
17,1.1694638985870753e-05,768,0.5620548725128174
18,1.1564779038630846e-05,733,0.5719075202941895
19,1.1437675955572324e-05,717,0.5800294876098633
20,1.13137375229444e-05,710,0.5825464725494385
21,1.1194371929978963e-05,694,0.5910577774047852
22,1.108210022182643e-05,690,0.6040773391723633
23,1.0970496869044943e-05,677,0.6110608577728271
24,1.0864369494045789e-05,659,0.6166164875030518
25,1.0760493607930854e-05,672,0.634099006652832
26,1.0656882112769495e-05,667,0.6491115093231201
27,1.0552704622801556e-05,665,0.6636371612548828
28,1.044977257802504e-05,660,0.6796534061431885
29,1.0353047035005503e-05,611,0.6636629104614258
30,1.0261962675839342e-05,602,0.6731317043304443
31,1.0163821043240873e-05,618,0.6956596374511719
32,1.00310654673752e-05,591,0.694589376449585
33,9.93525574222165e-06,581,0.6975955963134766
34,9.841079133487973e-06,577,0.7205972671508789
35,9.757328489956585e-06,574,0.7085621356964111
36,9.673578002633576e-06,568,0.7170729637145996
37,9.591305220713053e-06,567,0.7315967082977295
38,9.509903463600367e-06,563,0.7356216907501221
39,9.42900637312949e-06,557,0.7471299171447754
40,9.34817498565721e-06,551,0.7546191215515137
41,9.267172619842334e-06,538,0.7641336917877197
42,9.18716468822911e-06,529,0.76613450050354
43,9.108738864060939e-06,522,0.7736225128173828
44,9.033908710986971e-06,510,0.7761156558990479
45,8.962987804062017e-06,509,0.7890739440917969
46,8.89403388881771e-06,507,0.8241519927978516
47,8.826322920540974e-06,501,0.8186132907867432
48,8.747472223902264e-06,502,0.8300979137420654
49,8.679239299480557e-06,500,0.848099946975708
50,8.61229682336262e-06,489,0.8276515007019043
