K,MSE,ITERATIONS,EXECUTION TIME
2,1.5765425404268285e-05,1067,0.7295691967010498
3,1.494229208409692e-05,1290,0.8945972919464111
4,1.4351010499957795e-05,1261,0.9980859756469727
5,1.391208742096417e-05,1208,1.1096172332763672
6,1.362743234534225e-05,1068,1.2041609287261963
7,1.3362627937829608e-05,1083,1.3671388626098633
8,1.3117171105414549e-05,1098,1.5184061527252197
9,1.2948199555107287e-05,1052,1.64451003074646
10,1.276887165824192e-05,991,1.7889249324798584
11,1.25888219733028e-05,1004,1.9321677684783936
12,1.247793834491251e-05,959,2.0717952251434326
13,1.2268264696468911e-05,910,2.2171812057495117
14,1.2174093456551738e-05,899,2.3562521934509277
15,1.2047191059294526e-05,894,2.5314645767211914
16,1.1893265253859475e-05,901,2.705420732498169
17,1.1735640762289279e-05,852,2.9118077754974365
18,1.1630877078783186e-05,853,3.014333963394165
19,1.1455934188164818e-05,799,3.124541759490967
20,1.137492289882136e-05,778,3.284104824066162
21,1.1267996449237927e-05,787,3.44534969329834
22,1.116835151371287e-05,755,3.5766539573669434
23,1.104926820871821e-05,803,3.7891106605529785
24,1.097539906724787e-05,791,3.9369122982025146
25,1.0887302838047397e-05,744,4.03662109375
26,1.0765716513039258e-05,742,4.202814817428589
27,1.0646616737108872e-05,744,4.2931458950042725
28,1.0548817808042621e-05,728,4.424481391906738
29,1.0456943019043763e-05,660,4.584866285324097
30,1.035072866484299e-05,727,4.794706583023071
31,1.0259157245173789e-05,686,4.8932576179504395
32,1.0232973818413704e-05,647,5.014583110809326
33,1.0068879604752112e-05,672,5.175496339797974
34,1.0053312312963136e-05,656,5.254184007644653
35,9.957759788736809e-06,675,5.461832284927368
36,9.812241305917624e-06,628,5.529616117477417
37,9.742955152880484e-06,639,5.64545202255249
38,9.682933121868409e-06,635,5.83430027961731
39,9.560869287494889e-06,615,6.014885902404785
40,9.570537227943099e-06,634,6.3129284381866455
41,9.480576682485697e-06,600,6.371679782867432
42,9.420116016456426e-06,584,6.359611511230469
43,9.275431039346138e-06,564,6.662494659423828
44,9.182462551549087e-06,578,6.953504323959351
45,9.22856994356458e-06,579,7.004842042922974
46,9.08740021487997e-06,623,7.2489190101623535
47,9.056897528614272e-06,586,7.221608400344849
48,8.939859802992167e-06,552,7.376033544540405
49,8.937140268061583e-06,559,7.756980657577515
50,8.84074142593061e-06,552,7.947818279266357
