K,MSE,ITERATIONS,EXECUTION TIME
2,71.59284108303176,969,0.3780815601348877
3,68.19526271649086,1228,0.4101746082305908
4,65.73687169389822,1338,0.444598913192749
5,63.87230425344839,1227,0.40407633781433105
6,62.61738712064743,1134,0.3797445297241211
7,61.62219430910647,1173,0.3999977111816406
8,60.56340857595792,1093,0.3816370964050293
9,59.645726907775526,1145,0.41843414306640625
10,59.00197330533233,1125,0.43022608757019043
11,58.44520419082831,1201,0.4696309566497803
12,57.48882783972208,1029,0.4156777858734131
13,56.83613055187878,1039,0.4347555637359619
14,56.67701278260776,1089,0.4694983959197998
15,55.48186288268717,1047,0.48087501525878906
16,55.41388286837499,1020,0.4693140983581543
17,55.17475331508114,957,0.4624900817871094
18,54.61925433097885,1034,0.5052473545074463
19,53.69899052160129,985,0.5000498294830322
20,53.6766513005969,1015,0.5196511745452881
21,52.76672255223405,997,0.5300154685974121
22,52.19972539220337,946,0.5348703861236572
23,51.89792451294237,953,0.5302321910858154
24,51.4588085902801,939,0.564673662185669
25,51.07870999211589,931,0.564995527267456
26,50.409216562966456,932,0.5703117847442627
27,50.15828709626588,944,0.5849802494049072
28,49.71442964466233,976,0.6216292381286621
29,49.38689558926682,942,0.6034708023071289
30,48.76807189045297,935,0.6185464859008789
31,48.977054597171055,893,0.605459451675415
32,48.30805891231622,926,0.6473274230957031
33,47.794147189451444,906,0.6452596187591553
34,47.764089750958924,888,0.6497375965118408
35,47.506026540407106,894,0.6651818752288818
36,47.156653586282175,923,0.6948535442352295
37,46.50813929348849,904,0.6909575462341309
38,46.212982559520285,885,0.7034003734588623
39,46.21690096961049,887,0.7257256507873535
40,45.95849598850903,905,0.74764084815979
41,45.56781106639964,903,0.7463934421539307
42,45.3670762667677,874,0.7317726612091064
43,44.89291229316388,882,0.7682549953460693
44,44.526265229291006,878,0.7858617305755615
45,44.363822455648105,884,0.7834525108337402
46,44.01070685640022,887,0.7739753723144531
47,43.72385027261478,853,0.7836651802062988
48,43.86203390532411,867,0.840864896774292
49,43.70470059977401,851,0.8258607387542725
50,42.8004068853364,869,0.8562719821929932
