K,MSE,ITERATIONS,EXECUTION TIME
2,71.5919966469445,921,0.6811056137084961
3,68.19141412699031,1215,0.884436845779419
4,65.72987752495393,1290,1.0088846683502197
5,63.88341531923679,1283,1.1517481803894043
6,62.68088315999546,1173,1.2929236888885498
7,61.59906439543478,1113,1.4299139976501465
8,60.71651782191638,1026,1.5418117046356201
9,59.96088871881063,1035,1.688511610031128
10,58.98567657873222,952,1.8201744556427002
11,58.06937066868883,965,1.9753377437591553
12,57.62267974269567,918,2.100088357925415
13,57.08586220733835,915,2.2992992401123047
14,56.362625775181264,847,2.425825595855713
15,55.68910207102398,839,2.593181848526001
16,55.24323304321389,867,2.749814748764038
17,54.74393238512981,828,2.860440969467163
18,53.9794089355412,881,3.0332345962524414
19,53.55187716969401,795,3.197399854660034
20,52.72071274251536,768,3.283177375793457
21,52.329508535414874,808,3.453221321105957
22,51.85327320132001,699,3.596797466278076
23,51.65012737061255,771,3.800081968307495
24,51.100914943590375,747,3.950197219848633
25,50.46025457155341,714,4.113517999649048
26,50.35155365356338,726,4.191253185272217
27,49.61489427380949,688,4.366363525390625
28,49.31501385114086,686,4.478692054748535
29,48.517598915536034,683,4.658920764923096
30,48.324983607702634,678,4.796416282653809
31,47.8875014090024,669,4.995346546173096
32,47.69903154016476,664,5.14957857131958
33,46.99971010960628,631,5.240229606628418
34,47.05631115851903,615,5.413344860076904
35,46.63440176358093,610,5.506549835205078
36,46.12359797623891,623,5.851407051086426
37,45.70031445509051,642,5.9586501121521
38,45.55315810972881,610,6.050007581710815
39,44.86728982620749,582,6.166402339935303
40,44.93403828175866,577,6.266740560531616
41,43.82696949505425,558,6.426381587982178
42,44.363554459041644,538,6.575050354003906
43,43.63022718536884,573,6.802090167999268
44,43.46407136041981,576,7.00691294670105
45,43.06646547017326,563,7.034663677215576
46,42.74043538738907,576,7.236920118331909
47,42.411097096098686,551,7.337403059005737
48,42.17417014184961,545,7.520004987716675
49,42.03855343166151,524,7.684929370880127
50,41.19411690403708,509,7.814770698547363
