K,MSE,ITERATIONS,EXECUTION TIME
2,64781.66061522928,1469,0.7998826503753662
3,56818.092316397524,1487,0.6159985065460205
4,52487.65602717611,1126,0.4497549533843994
5,49109.86825545795,945,0.3963205814361572
6,47046.68631020568,738,0.31526708602905273
7,45367.0166798611,597,0.2887599468231201
8,43873.947586256116,493,0.2855250835418701
9,42520.606033959244,384,0.1974625587463379
10,41533.83304862595,361,0.20011377334594727
11,40611.81480148295,363,0.2165849208831787
12,39738.7691205552,327,0.1877117156982422
13,38908.755332347544,342,0.2160642147064209
14,38130.12159672613,300,0.18757987022399902
15,37514.907213968654,253,0.21649479866027832
16,36879.96674197603,223,0.17561817169189453
17,36208.63931410462,259,0.18328118324279785
18,35590.05454152338,238,0.204575777053833
19,35053.558707994496,226,0.19543004035949707
20,34514.25845855735,245,0.22061562538146973
21,34005.75962397578,229,0.2171764373779297
22,33498.083673400164,205,0.19546103477478027
23,33001.45936807713,226,0.20752239227294922
24,32543.287792580108,232,0.2090437412261963
25,32092.396176282946,231,0.21596431732177734
26,31652.700439550496,236,0.21763300895690918
27,31198.34244219467,210,0.21794772148132324
28,30765.689819887448,206,0.21199345588684082
29,30353.153928104748,221,0.24300050735473633
30,29959.12811175913,215,0.24802517890930176
31,29544.531403167377,210,0.2333519458770752
32,29161.511647184816,175,0.20886898040771484
33,28780.86668292365,198,0.23380494117736816
34,28401.769611429336,200,0.2271568775177002
35,28041.365795222904,179,0.2312619686126709
36,27683.24428795218,177,0.22937297821044922
37,27327.096934534937,181,0.233720064163208
38,26960.684340666547,188,0.24915647506713867
39,26643.259623720704,173,0.24320554733276367
40,26342.073947704477,172,0.24422502517700195
41,25929.804050464994,190,0.28038835525512695
42,25588.444806276948,170,0.2681310176849365
43,25274.26196790341,173,0.24837899208068848
44,24961.48358804643,175,0.2835268974304199
45,24655.735667633708,167,0.2698662281036377
46,24359.277304072893,191,0.27022862434387207
47,24069.045077332354,159,0.27940797805786133
48,23792.196082414128,180,0.2949032783508301
49,23521.986475088273,182,0.30010271072387695
50,23263.16539518902,174,0.31890058517456055
