K,MSE,ITERATIONS,EXECUTION TIME
2,64781.66061522928,1459,0.7659347057342529
3,56803.490618686126,1495,0.5761017799377441
4,52487.65602717611,1132,0.4328017234802246
5,49109.86825545795,1102,0.4337027072906494
6,47046.68631020568,770,0.3256080150604248
7,45360.03530638668,530,0.25720953941345215
8,43856.39871743689,446,0.2246551513671875
9,42541.638468972,420,0.22547650337219238
10,41538.87325419225,365,0.19215774536132812
11,40593.54369924279,344,0.1998131275177002
12,39715.50008608401,283,0.1753697395324707
13,38852.065678272775,275,0.18319010734558105
14,38220.30969247593,294,0.19770503044128418
15,37561.611823647225,257,0.19399070739746094
16,36933.08044015504,273,0.19090771675109863
17,36329.09574064527,264,0.19240403175354004
18,35713.85083785672,241,0.1910381317138672
19,35077.45324754986,271,0.21901464462280273
20,34372.75907727054,223,0.1900005340576172
21,33830.73058079946,220,0.1910688877105713
22,33303.30764482632,210,0.18361520767211914
23,32794.78313757024,212,0.19150781631469727
24,32330.304357319343,226,0.20015668869018555
25,31876.550640487007,210,0.2167191505432129
26,31431.10225071068,189,0.18349003791809082
27,30995.58085206164,194,0.20790529251098633
28,30599.667824697368,178,0.20183515548706055
29,30194.763646750253,204,0.2149972915649414
30,29803.805100881953,176,0.2089521884918213
31,29416.432585206752,183,0.20758390426635742
32,29046.642635223943,192,0.21838927268981934
33,28678.183866450876,189,0.20665574073791504
34,28320.062359180156,167,0.22444605827331543
35,27972.638202544847,181,0.22879314422607422
36,27621.1441115305,182,0.23194169998168945
37,27274.249305758967,161,0.2131507396697998
38,26942.04457529676,166,0.23311901092529297
39,26620.6963823895,179,0.23241782188415527
40,26294.694767792615,162,0.22539734840393066
41,25971.697549243407,179,0.24124360084533691
42,25658.54943377775,185,0.2498950958251953
43,25332.617317990473,156,0.23973345756530762
44,25031.431641974243,158,0.24210810661315918
45,24699.976975782694,165,0.25548601150512695
46,24406.528022934832,156,0.24869894981384277
47,24116.295796194292,159,0.258347749710083
48,23842.465256952353,162,0.24940156936645508
49,23555.3471065553,153,0.2504899501800537
50,23296.933346069578,159,0.2551758289337158
