K,MSE,ITERATIONS,EXECUTION TIME
2,64781.430006913215,1152,0.7758162021636963
3,56801.95066113437,1061,0.8706002235412598
4,52487.65602717611,1303,1.0829648971557617
5,49078.540660803905,1431,1.2666122913360596
6,47030.70288532268,1387,1.3775711059570312
7,45400.18608194002,1253,1.4892075061798096
8,43988.478989214476,1251,1.6507043838500977
9,42770.27011839008,1300,1.8074076175689697
10,41621.79424156529,1269,1.9759304523468018
11,40573.16933205316,1273,2.109485387802124
12,39899.6495620378,1226,2.24238920211792
13,39127.20262749933,1206,2.365710496902466
14,38574.417336953244,1225,2.4847412109375
15,38070.62092824277,1151,2.607605457305908
16,37296.12103290635,1071,2.738097667694092
17,36626.42667101641,1114,2.929171323776245
18,35762.12645561251,1049,3.075434446334839
19,35586.569909831334,1016,3.284102439880371
20,34950.97167815112,1059,3.374910354614258
21,34684.247317543806,1050,3.5095009803771973
22,33983.484333393026,974,3.65484356880188
23,33465.26576877862,938,3.758995294570923
24,33187.63541917074,916,3.9091107845306396
25,32587.434731725498,950,4.045274972915649
26,32385.775239900177,936,4.208903074264526
27,31702.882744394574,913,4.36673378944397
28,31299.227682417524,935,4.567490339279175
29,31102.41270563884,869,4.650930166244507
30,30726.55690068758,842,4.802627801895142
31,30522.68508651039,852,5.055692672729492
32,29780.69443407352,839,5.246409177780151
33,29825.80807218999,830,5.436232805252075
34,29246.721221731717,796,5.434800148010254
35,29233.031209589673,814,5.638332366943359
36,28792.11037608046,818,5.745429992675781
37,28182.25624655863,736,5.906226396560669
38,28069.93380782369,801,6.116588354110718
39,27439.75855673362,758,6.199798107147217
40,27291.59956346463,728,6.29903507232666
41,26735.164650432413,741,6.516554355621338
42,26620.94832183276,741,6.619539737701416
43,26675.035498023455,712,6.77465558052063
44,26239.14237408223,697,6.918921709060669
45,25889.808404150288,696,7.076134204864502
46,25667.648787316855,700,7.21066689491272
47,25385.487990577447,686,7.457459211349487
48,25144.314929587614,686,7.544586181640625
49,24916.4695626896,680,7.680963516235352
50,24773.791559391215,694,7.86681342124939
