K,MSE,ITERATIONS,EXECUTION TIME
2,280.3664567238419,5746,3.0922372341156006
3,267.86601660268616,4063,1.5501797199249268
4,258.9670189456066,2357,0.9165401458740234
5,251.86067790980852,1534,0.6334755420684814
6,247.6318037157888,1146,0.5211007595062256
7,243.81157326284875,1102,0.5331082344055176
8,240.32629899026537,1125,0.5585227012634277
9,236.66957109559345,1274,0.6166965961456299
10,233.26247087132066,1108,0.5852267742156982
11,229.9216120429154,1056,0.5735921859741211
12,226.7001833531629,1103,0.6078009605407715
13,223.4955561756064,1129,0.6330440044403076
14,220.53959915973908,1142,0.6504218578338623
15,217.50483212913372,1131,0.6739768981933594
16,214.62428465186213,912,0.5758523941040039
17,211.8830669441112,886,0.593468427658081
18,209.16826589700753,846,0.5910301208496094
19,206.6716199786835,809,0.5834448337554932
20,204.32397063883042,795,0.5998644828796387
21,202.15011309190518,795,0.6001608371734619
22,200.05837413167137,776,0.6210527420043945
23,197.9690879378078,784,0.6288361549377441
24,195.91614856880227,755,0.6247749328613281
25,193.99773779018784,750,0.6404085159301758
26,192.09454709185673,749,0.649709939956665
27,190.2248552761689,740,0.6668131351470947
28,188.3582260791049,724,0.69999098777771
29,186.5565613136893,718,0.6675453186035156
30,184.77823119887677,712,0.703758716583252
31,183.0114440009773,708,0.6934385299682617
32,181.28758320669402,698,0.7019214630126953
33,179.44285812002136,698,0.7206804752349854
34,177.7681500248284,698,0.7243380546569824
35,176.09680529189907,690,0.7359280586242676
36,174.43191626082307,676,0.7390971183776855
37,172.8071431381947,677,0.7677297592163086
38,171.17282039550463,673,0.7736999988555908
39,169.56456176850702,659,0.7845172882080078
40,168.05554768992525,656,0.7841455936431885
41,166.57179231945298,652,0.8045928478240967
42,165.14648986565703,644,0.8028256893157959
43,163.72390419838115,628,0.8077447414398193
44,162.11559010389155,624,0.8143594264984131
45,160.3911481639983,625,0.8209729194641113
46,158.96995221162467,616,0.8486711978912354
47,157.5885994995816,611,0.8406260013580322
48,156.21693551155857,609,0.8619933128356934
49,154.8498160475146,604,0.888730525970459
50,153.30874085757242,602,0.8832623958587646
