K,MSE,ITERATIONS,EXECUTION TIME
2,280.3816654558037,1312,0.8673536777496338
3,267.78994546771884,934,0.428783655166626
4,259.01067652072015,419,0.20180892944335938
5,252.4922433798376,355,0.1839601993560791
6,248.2633691858179,387,0.1916952133178711
7,244.72918660658388,329,0.19047093391418457
8,240.57768784143144,395,0.21539640426635742
9,236.9086318572867,277,0.1693735122680664
10,233.41500670909164,282,0.19500374794006348
11,230.0588360063842,261,0.17656850814819336
12,226.9254825555456,259,0.17980599403381348
13,223.9829835769146,239,0.1731395721435547
14,220.7590162944462,255,0.18352246284484863
15,217.5676235591134,261,0.2011716365814209
16,214.65719997295713,242,0.18577098846435547
17,211.8907498904779,222,0.1767263412475586
18,209.17594884337424,204,0.18752813339233398
19,206.67930292505025,186,0.19028997421264648
20,204.33165358519716,186,0.19200778007507324
21,202.2089377540243,176,0.1817166805267334
22,200.12014224995656,195,0.18391752243041992
23,198.15868549684603,176,0.193955659866333
24,196.28143742322007,183,0.18927621841430664
25,194.1921512293565,182,0.19996929168701172
26,192.27374045074208,173,0.20027637481689453
27,190.39564667907058,166,0.18292999267578125
28,188.6138840088217,178,0.20537376403808594
29,186.72487447466733,168,0.20303726196289062
30,184.91519031067745,172,0.21588349342346191
31,183.1474972484021,183,0.21083378791809082
32,181.3807100505026,183,0.2156052589416504
33,179.3828422090137,187,0.23974037170410156
34,177.75806908638532,177,0.21660971641540527
35,176.06817832111773,179,0.23132014274597168
36,174.44089055767893,158,0.2220449447631836
37,172.87686382669665,162,0.23964524269104004
38,171.36597483636885,166,0.23964929580688477
39,169.84635830796168,160,0.22617411613464355
40,168.363928496935,167,0.2391345500946045
41,166.89153274375622,163,0.24088239669799805
42,165.44278331911212,158,0.2331092357635498
43,163.927916210933,153,0.25209665298461914
44,162.5076082747986,158,0.24003148078918457
45,161.12145162043686,150,0.24502801895141602
46,159.70183670547368,143,0.23494839668273926
47,158.28733951539078,151,0.24657034873962402
48,156.91539785943638,164,0.25989556312561035
49,155.53933106199847,162,0.26636528968811035
50,154.2134966261798,154,0.2725980281829834
