K,MSE,ITERATIONS,EXECUTION TIME
2,397.99999378938634,100,0.25998497009277344
3,396.9999937737816,100,0.26520872116088867
4,395.9999937580984,100,0.23812103271484375
5,394.9999937423361,100,0.26216864585876465
6,393.9999937264939,100,0.23875141143798828
7,392.99999371057135,100,0.2461531162261963
8,391.99999369456776,100,0.2525441646575928
9,390.99999367848255,100,0.2539055347442627
10,389.9999936623149,100,0.25706052780151367
11,388.9999936460646,100,0.24276208877563477
12,387.9999936297304,100,0.3302788734436035
13,386.9999936133122,100,0.2657756805419922
14,385.9999935968092,100,0.281266450881958
15,384.9999935802206,100,0.33138489723205566
16,383.99999356354573,100,0.2742738723754883
17,382.99999354678425,100,0.26392340660095215
18,381.99999352993524,100,0.30388307571411133
19,380.99999351299783,100,0.3346731662750244
20,379.99999349597147,100,0.3104856014251709
21,378.9999934788557,100,0.3115720748901367
22,377.9999934616495,100,0.3157765865325928
23,376.99999344435224,100,0.314422607421875
24,375.99999342696333,100,0.3483889102935791
25,374.9999934094818,100,0.281078577041626
26,373.9999933919071,100,0.33490872383117676
27,372.99999337423833,100,0.35886263847351074
28,371.999993356475,100,0.3227567672729492
29,370.999993338616,100,0.31325650215148926
30,369.9999933206608,100,0.2921442985534668
31,368.9999933026086,100,0.2982804775238037
32,367.99999328445847,100,0.29407787322998047
33,366.99999326620963,100,0.2952115535736084
34,365.99999324786154,100,0.2938568592071533
35,364.999993229413,100,0.3079655170440674
36,363.9999932108634,100,0.3245394229888916
37,362.99999319221206,100,0.32722902297973633
38,361.99999317345765,100,0.3169522285461426
39,360.9999931545999,100,0.3233973979949951
40,359.9999931356377,100,0.27219295501708984
41,358.99999311656995,100,0.2794666290283203
42,357.999993097396,100,0.31953001022338867
43,356.999993078115,100,0.27544140815734863
44,355.999993058726,100,0.28368377685546875
45,354.999993039228,100,0.3195457458496094
46,353.9999930196202,100,0.2946493625640869
47,352.9999929999016,100,0.29813098907470703
48,351.99999298007134,100,0.2962021827697754
49,350.99999296012834,100,0.3106081485748291
50,349.9999929400717,100,0.3016953468322754
