K,MSE,ITERATIONS,EXECUTION TIME
2,397.9999302964901,100,0.23255491256713867
3,396.99940705114784,100,0.23587298393249512
4,395.9994139663403,100,0.2588200569152832
5,394.9994070212224,100,0.26856374740600586
6,393.9994976711772,100,0.2831709384918213
7,392.99940698572766,100,0.2879171371459961
8,391.9994069826115,100,0.32012224197387695
9,390.99940695991353,100,0.3277158737182617
10,389.9992336246348,100,0.33596110343933105
11,388.999391582792,100,0.36408400535583496
12,387.9994069172675,100,0.369307279586792
13,386.9994000561186,100,0.37589335441589355
14,385.9994066860902,100,0.39248132705688477
15,384.9994068816534,100,0.4081096649169922
16,383.99940690480116,100,0.41910624504089355
17,382.99903703887037,100,0.4409661293029785
18,381.999217295645,100,0.4521009922027588
19,380.9993915442019,100,0.46440935134887695
20,379.9992263293468,100,0.47266530990600586
21,378.9992335784899,100,0.48986124992370605
22,377.999391456497,100,0.5101158618927002
23,376.99939106696934,100,0.5125682353973389
24,375.99903701528063,100,0.537285327911377
25,374.9990301210963,100,0.5500767230987549
26,373.99923353688297,100,0.5543882846832275
27,372.998910967999,100,0.5658628940582275
28,371.9992335543012,100,0.5918858051300049
29,370.9990365830879,100,0.597243070602417
30,369.99903657092,100,0.6030580997467041
31,368.998831741247,100,0.6076757907867432
32,367.9989035910404,100,0.6111512184143066
33,366.99903693001255,100,0.6296477317810059
34,365.999036396664,100,0.6334919929504395
35,364.9990369529591,100,0.6555423736572266
36,363.99897457513,100,0.6611936092376709
37,362.9989734765794,100,0.6708736419677734
38,361.99921710691046,100,0.6993954181671143
39,360.9990369079585,100,0.7140913009643555
40,359.9989734876706,100,0.7234337329864502
41,358.99920180164,100,0.7267835140228271
42,357.99895814730814,100,0.7442312240600586
43,356.9988469261724,100,0.7545263767242432
44,355.99902864370574,100,0.7845633029937744
45,354.9990363677814,100,0.7832589149475098
46,353.9989734340464,100,0.8008825778961182
47,352.9988473989888,100,0.8070919513702393
48,351.99884738122955,100,0.8316445350646973
49,350.9989736607982,100,0.8440802097320557
50,349.99884738576577,100,0.8528032302856445
