K,MSE,ITERATIONS,EXECUTION TIME
2,5.158622261469681e-06,1224,0.7026782035827637
3,4.686371680828749e-06,1355,0.530144453048706
4,4.393501902733021e-06,1447,0.5472140312194824
5,4.168562895756622e-06,836,0.3511662483215332
6,4.047720236766139e-06,610,0.27951812744140625
7,3.9304935269823815e-06,424,0.2176969051361084
8,3.8096155960953837e-06,495,0.2506241798400879
9,3.7112169924968796e-06,436,0.22973012924194336
10,3.6393563306313936e-06,374,0.19797563552856445
11,3.569964950100868e-06,417,0.25006794929504395
12,3.500220917107555e-06,469,0.26575422286987305
13,3.4331523656172536e-06,379,0.24183201789855957
14,3.370298222504786e-06,353,0.24154376983642578
15,3.308609309082833e-06,315,0.20840096473693848
16,3.2503400975159025e-06,288,0.20822763442993164
17,3.1941964961923475e-06,326,0.23370909690856934
18,3.1386065133531815e-06,298,0.2319025993347168
19,3.0834225727138787e-06,301,0.22614836692810059
20,3.029089270079055e-06,269,0.21958208084106445
21,2.9774652182679162e-06,260,0.22386884689331055
22,2.9292863525931523e-06,267,0.23149442672729492
23,2.879073675465804e-06,264,0.2353837490081787
24,2.8304460435446543e-06,234,0.215437650680542
25,2.7840018083091778e-06,251,0.24503850936889648
26,2.7386156870035094e-06,249,0.23171448707580566
27,2.6899850792405644e-06,227,0.23638463020324707
28,2.6482091691759635e-06,237,0.2415626049041748
29,2.6072723245951224e-06,221,0.22026515007019043
30,2.56731654346698e-06,225,0.23980331420898438
31,2.531237311975687e-06,218,0.22984957695007324
32,2.4978698334177096e-06,210,0.22945666313171387
33,2.463850319878169e-06,212,0.23955178260803223
34,2.4322254968955903e-06,219,0.24738240242004395
35,2.402536970147473e-06,193,0.22380638122558594
36,2.3730490431583817e-06,207,0.24233269691467285
37,2.3438866044722673e-06,207,0.2514042854309082
38,2.314866171637675e-06,217,0.25989580154418945
39,2.28604066276894e-06,214,0.26654791831970215
40,2.2574966891397708e-06,201,0.25726938247680664
41,2.2313533382112283e-06,196,0.2663564682006836
42,2.2050460718459064e-06,188,0.26462602615356445
43,2.1792938595943667e-06,186,0.2682504653930664
44,2.153775481184006e-06,172,0.25000858306884766
45,2.1284517066622044e-06,181,0.27276110649108887
46,2.1031533874449337e-06,187,0.27188587188720703
47,2.07875279045755e-06,179,0.2697460651397705
48,2.054407544860304e-06,162,0.25694823265075684
49,2.0313708684049914e-06,165,0.26061463356018066
50,2.0091526286014627e-06,173,0.27266955375671387
