K,MSE,ITERATIONS,EXECUTION TIME
2,5.158569975183269e-06,814,0.6800782680511475
3,4.686371680828749e-06,1151,0.8641231060028076
4,4.3927435477986165e-06,1376,1.0667014122009277
5,4.1687833646220085e-06,1428,1.214446783065796
6,4.042495742706542e-06,1343,1.3357212543487549
7,3.927193053199218e-06,1246,1.4346468448638916
8,3.831822125377471e-06,1184,1.5648014545440674
9,3.725472057292123e-06,1196,1.7018303871154785
10,3.647725785982381e-06,1217,1.8530869483947754
11,3.5700324348963974e-06,1186,1.9657728672027588
12,3.517270529718175e-06,1168,2.0959081649780273
13,3.462415393729046e-06,1164,2.271679401397705
14,3.4049757929865976e-06,1085,2.380950689315796
15,3.3398878602763915e-06,1037,2.5362677574157715
16,3.2822553622802175e-06,1007,2.6470634937286377
17,3.207518802783582e-06,1068,2.799896001815796
18,3.1786274597989106e-06,1016,2.950148820877075
19,3.109239485987736e-06,978,3.0699832439422607
20,3.0628832670132056e-06,944,3.21602463722229
21,3.0423323850170547e-06,971,3.3803958892822266
22,2.985536019850521e-06,940,3.5002269744873047
23,2.9073369302023977e-06,976,3.6998937129974365
24,2.8848623697674824e-06,922,3.8194446563720703
25,2.839249218733464e-06,896,3.947279214859009
26,2.8117444602626662e-06,908,4.102838754653931
27,2.7784080958159763e-06,863,4.247060060501099
28,2.7593242936108098e-06,837,4.383323907852173
29,2.714693369321175e-06,879,4.550079107284546
30,2.6711457143946404e-06,851,4.716714143753052
31,2.624599368283853e-06,876,4.85243034362793
32,2.5918466252106143e-06,849,4.997488498687744
33,2.5611262718383543e-06,816,5.133411884307861
34,2.521926674603492e-06,868,5.369375467300415
35,2.516433660892936e-06,847,5.413984298706055
36,2.462922353840824e-06,837,5.6215126514434814
37,2.429270650305959e-06,798,5.7118213176727295
38,2.4022543322343992e-06,831,5.9150285720825195
39,2.4068039172764344e-06,762,6.03604531288147
40,2.343282411443326e-06,790,6.230597496032715
41,2.357695600974097e-06,711,6.302064418792725
42,2.30728732619756e-06,765,6.480438232421875
43,2.2806021093835227e-06,750,6.617023468017578
44,2.286924334016227e-06,741,6.816802978515625
45,2.2547029890906956e-06,697,6.979342460632324
46,2.247822767698082e-06,719,7.170090436935425
47,2.200992203160723e-06,755,7.283238887786865
48,2.195594312581761e-06,708,7.367117166519165
49,2.1526753258838127e-06,682,7.514636754989624
50,2.1347158910556274e-06,695,7.666928291320801
