K,MSE,ITERATIONS,EXECUTION TIME
2,5.158569975183269e-06,858,0.3976466655731201
3,4.686074946191887e-06,1314,0.5188591480255127
4,4.392743095604779e-06,1394,0.5470645427703857
5,4.16865243291209e-06,1549,0.6070537567138672
6,4.041184859304714e-06,1362,0.5665631294250488
7,3.934252629123058e-06,1264,0.560600757598877
8,3.813235682326166e-06,1270,0.5817627906799316
9,3.75379299555334e-06,1159,0.5829808712005615
10,3.658471244949446e-06,1156,0.5993828773498535
11,3.57889094193542e-06,1162,0.6247122287750244
12,3.5204022104107224e-06,1125,0.6708359718322754
13,3.462500024586923e-06,1199,0.6907222270965576
14,3.4046522888742103e-06,1090,0.6728229522705078
15,3.3372905715589596e-06,1113,0.7230017185211182
16,3.277354717834413e-06,1041,0.7281844615936279
17,3.2138294643324627e-06,1095,0.7583215236663818
18,3.1623868574914837e-06,1049,0.7658734321594238
19,3.138319797812983e-06,1005,0.7844598293304443
20,3.064938714603116e-06,999,0.7905826568603516
21,3.0487214348617897e-06,992,0.8090894222259521
22,2.9920366546587474e-06,922,0.8177061080932617
23,2.954718357428554e-06,973,0.8749933242797852
24,2.899523912858193e-06,901,0.87227463722229
25,2.8755526706447654e-06,930,0.8921053409576416
26,2.812115122097225e-06,918,0.9001467227935791
27,2.7862358669139553e-06,940,0.9361739158630371
28,2.7694919273457685e-06,918,0.9471116065979004
29,2.7148148424860352e-06,886,0.950005292892456
30,2.6733511970800095e-06,892,0.9860620498657227
31,2.653421820597579e-06,881,0.9814465045928955
32,2.6197108191627905e-06,888,1.0164728164672852
33,2.5797030532848098e-06,852,1.0150983333587646
34,2.50867434348212e-06,868,1.0274255275726318
35,2.536290148014153e-06,882,1.075455665588379
36,2.499828435476026e-06,809,1.0576508045196533
37,2.484730696750148e-06,846,1.1081655025482178
38,2.4442058699225555e-06,827,1.1352648735046387
39,2.409608590436818e-06,829,1.154484748840332
40,2.3580960279989682e-06,812,1.1761817932128906
41,2.3711559835604135e-06,779,1.1690034866333008
42,2.3067490487749254e-06,812,1.2141575813293457
43,2.3030374851629176e-06,795,1.251227855682373
44,2.283093282984261e-06,825,1.2968907356262207
45,2.248197392695772e-06,785,1.2837932109832764
46,2.2581845441349557e-06,763,1.2839910984039307
47,2.2019332455158747e-06,771,1.2920689582824707
48,2.2099290836186114e-06,737,1.2862656116485596
49,2.1625708864769777e-06,741,1.3184466361999512
50,2.159763127784764e-06,757,1.3372752666473389
