K,MSE,ITERATIONS,EXECUTION TIME
2,5.158569975183269e-06,4838,2.575364112854004
3,4.686371680828749e-06,5537,1.950514554977417
4,4.393501902733021e-06,5620,1.8501110076904297
5,4.168517130032079e-06,3500,1.2165167331695557
6,4.047603922252563e-06,2307,0.8833296298980713
7,3.927051745344912e-06,2261,0.8996646404266357
8,3.811054105629097e-06,1945,0.8165721893310547
9,3.715362719036719e-06,1843,0.8170795440673828
10,3.634709543898218e-06,1815,0.8165295124053955
11,3.5541887889456447e-06,1798,0.8356175422668457
12,3.4853830245262785e-06,1618,0.7812345027923584
13,3.4165420590426265e-06,1546,0.7499411106109619
14,3.354853145620673e-06,1418,0.7333214282989502
15,3.29627134210142e-06,1368,0.749854326248169
16,3.2414867912056167e-06,1270,0.7150931358337402
17,3.1867884098257804e-06,1263,0.7171404361724854
18,3.120510968401824e-06,1307,0.7666163444519043
19,3.0659220717765834e-06,1197,0.7500214576721191
20,3.0115887691417598e-06,1158,0.7433111667633057
21,2.960477425317798e-06,1147,0.7399423122406006
22,2.9095982634341766e-06,1129,0.7667050361633301
23,2.8591080751816378e-06,1091,0.7500331401824951
24,2.812847998967527e-06,1055,0.7533490657806396
25,2.763817831263893e-06,1173,0.8308653831481934
26,2.7204139025904794e-06,1007,0.7834908962249756
27,2.674510142797182e-06,1068,0.8167147636413574
28,2.6321137587270726e-06,949,0.7860629558563232
29,2.591656018235966e-06,941,0.780529260635376
30,2.5517002371078235e-06,911,0.7962877750396729
31,2.516143003283844e-06,906,0.8025801181793213
32,2.4821234897443034e-06,894,0.8191790580749512
33,2.449866387532751e-06,852,0.8143224716186523
34,2.4177964008664787e-06,849,0.8496153354644775
35,2.387294965155995e-06,825,0.8170590400695801
36,2.357874647751501e-06,822,0.8501167297363281
37,2.3287122090653867e-06,829,0.8498880863189697
38,2.2998867001966516e-06,826,0.8716006278991699
39,2.2711913397754913e-06,821,0.8607003688812256
40,2.2435693515232558e-06,808,0.8833155632019043
41,2.217262085157934e-06,803,0.9000458717346191
42,2.1913744978618865e-06,794,0.8999655246734619
43,2.165887479033124e-06,768,0.9019851684570312
44,2.1405891598158533e-06,712,0.8667278289794922
45,2.115955451631457e-06,707,0.8882741928100586
46,2.0916102060342112e-06,697,0.8753972053527832
47,2.0685735295788987e-06,695,0.9000225067138672
48,2.0460631897645243e-06,691,0.9329743385314941
49,2.0236772513282375e-06,672,0.9167656898498535
50,2.001323212152961e-06,666,0.9334971904754639
