K,MSE,ITERATIONS,EXECUTION TIME
2,5.158569975183269e-06,1251,0.646873950958252
3,4.686477198756478e-06,1428,0.5333731174468994
4,4.393501902733021e-06,1525,0.5061075687408447
5,4.168858284248067e-06,707,0.26065659523010254
6,4.047603922252563e-06,535,0.199859619140625
7,3.927051745344912e-06,519,0.20007038116455078
8,3.828607582634369e-06,388,0.1666250228881836
9,3.738914638673485e-06,424,0.1833970546722412
10,3.6349307892535876e-06,372,0.1676492691040039
11,3.5560356330677223e-06,408,0.18340587615966797
12,3.488123296646606e-06,370,0.1832420825958252
13,3.421299887951257e-06,374,0.1831967830657959
14,3.3596109745293035e-06,337,0.18610286712646484
15,3.3009384063920066e-06,344,0.18079161643981934
16,3.244886946474068e-06,304,0.18322539329528809
17,3.190188565094232e-06,302,0.16900181770324707
18,3.1248593855837115e-06,292,0.1810922622680664
19,3.0696476914782167e-06,292,0.18326473236083984
20,3.015314388843393e-06,263,0.18307876586914062
21,2.9635217266843483e-06,304,0.20266246795654297
22,2.9124103828603864e-06,271,0.1977219581604004
23,2.8619201946078476e-06,274,0.18324542045593262
24,2.8130233431511442e-06,271,0.18448114395141602
25,2.7690918799061492e-06,214,0.1833176612854004
26,2.7256047062662603e-06,243,0.20048975944519043
27,2.6790017598754545e-06,273,0.21511316299438477
28,2.639045978747312e-06,235,0.18396878242492676
29,2.596649594677203e-06,238,0.21652889251708984
30,2.5598426498518734e-06,248,0.21674633026123047
31,2.525181254653397e-06,237,0.21657037734985352
32,2.4901198664162294e-06,218,0.20006108283996582
33,2.456100352876689e-06,235,0.21653437614440918
34,2.4226478390065864e-06,223,0.21665549278259277
35,2.390289033260551e-06,217,0.216688871383667
36,2.3604796193232858e-06,198,0.21671676635742188
37,2.3310610152149636e-06,192,0.20003962516784668
38,2.301898576528849e-06,181,0.2001020908355713
39,2.273220044868296e-06,191,0.21666479110717773
40,2.2473324575722486e-06,187,0.2166428565979004
41,2.219710469320013e-06,198,0.23324298858642578
42,2.1931513835005134e-06,178,0.2167210578918457
43,2.1678530642832428e-06,170,0.2165813446044922
44,2.141545797917921e-06,187,0.23323559761047363
45,2.1168856976228057e-06,173,0.21668696403503418
46,2.093368163702536e-06,186,0.23325729370117188
47,2.0690749731322455e-06,166,0.21668434143066406
48,2.046100133212825e-06,161,0.23228812217712402
49,2.0230634567575123e-06,173,0.23330974578857422
50,2.0008452169539837e-06,166,0.23362493515014648
