K,MSE,ITERATIONS,EXECUTION TIME
2,397.99999327083503,100,0.49882078170776367
3,396.9999302816146,100,0.6480894088745117
4,395.9994079936522,100,0.790111780166626
5,394.9994070345847,100,0.9419476985931396
6,393.99960356862925,100,1.0901637077331543
7,392.9996237156534,100,1.20869779586792
8,391.9994001247666,100,1.3309576511383057
9,390.99921737720217,100,1.4946813583374023
10,389.99934349844085,100,1.6844544410705566
11,388.9994069752677,100,1.776170253753662
12,387.99954004191886,100,1.9371681213378906
13,386.99940655832114,100,2.0715949535369873
14,385.9993434588236,100,2.2235987186431885
15,384.99915336115106,100,2.444359064102173
16,383.9994068696566,100,2.4879496097564697
17,382.9990370388376,100,2.5800304412841797
18,381.9992335813755,100,2.7498767375946045
19,380.99903699405536,100,2.9262866973876953
20,379.9992335627943,100,3.0437631607055664
21,378.9992172735048,100,3.210416078567505
22,377.9990365202778,100,3.314815044403076
23,376.99903700323523,100,3.4793386459350586
24,375.99897353723077,100,3.5966901779174805
25,374.9988474043642,100,3.7610297203063965
26,373.99921720339285,100,3.892040252685547
27,372.9990370546418,100,4.0540993213653564
28,371.9990311545319,100,4.200300693511963
29,370.9992335175408,100,4.33464503288269
30,369.99903646788476,100,4.49757981300354
31,368.99921720128134,100,4.633591651916504
32,367.99895818550465,100,4.7490010261535645
33,366.9990369616213,100,4.889495611190796
34,365.9993431983176,100,5.084047794342041
35,364.99902162389384,100,5.405038595199585
36,363.9990300575537,100,5.3796117305755615
37,362.9990364358954,100,5.509699821472168
38,361.99902162648993,100,5.661926984786987
39,360.99902109943264,100,5.778396844863892
40,359.9988474130396,100,5.940603971481323
41,358.9990215921427,100,6.248253583908081
42,357.99902300560666,100,6.2696123123168945
43,356.9989105303865,100,6.3797619342803955
44,355.9988470314363,100,6.550045490264893
45,354.99884738740957,100,6.699838876724243
46,353.99896618359116,100,6.879948377609253
47,352.9988475062423,100,7.0356764793396
48,351.99888872648967,100,7.1324462890625
49,350.9989734294618,100,7.475532293319702
50,349.99884051861704,100,7.908043622970581
