K,MSE,ITERATIONS,EXECUTION TIME
2,397.99998712907933,100,0.07741641998291016
3,396.99998065400223,100,0.07096242904663086
4,395.9999763049908,100,0.07136178016662598
5,394.99997581635034,100,0.0791923999786377
6,393.99997286772435,100,0.0699155330657959
7,392.9999600280757,100,0.08263158798217773
8,391.99995531912157,100,0.07663750648498535
9,390.99995268614157,100,0.08396649360656738
10,389.9999471277149,100,0.08412456512451172
11,388.99996896407674,100,0.08890700340270996
12,387.99995821716783,100,0.08294892311096191
13,386.9999593325756,100,0.093231201171875
14,385.99994230845675,100,0.08873820304870605
15,384.999941031403,100,0.10001277923583984
16,383.99992472370633,100,0.10005068778991699
17,382.9999402720567,100,0.10007476806640625
18,381.9999344802646,100,0.09985136985778809
19,380.9999262313869,100,0.1116640567779541
20,379.9999157603402,100,0.10875058174133301
21,378.99992455017355,100,0.1095125675201416
22,377.9999318526818,100,0.1181192398071289
23,376.99988254680693,100,0.11168837547302246
24,375.9999047631671,100,0.11917924880981445
25,374.999901718878,100,0.1284947395324707
26,373.9998333354071,100,0.12213659286499023
27,372.9999017203969,100,0.12973451614379883
28,371.9999262902936,100,0.1308739185333252
29,370.9999092803655,100,0.13706684112548828
30,369.99990928036635,100,0.13085293769836426
31,368.99988206447625,100,0.1390395164489746
32,367.9998429256311,100,0.1511554718017578
33,366.9998343084291,100,0.14899849891662598
34,365.9998927858875,100,0.15088415145874023
35,364.99982161516584,100,0.1489253044128418
36,363.99983152068035,100,0.16116881370544434
37,362.99980344079376,100,0.15967488288879395
38,361.9999017203967,100,0.15994524955749512
39,360.99989321400744,100,0.16150379180908203
40,359.99989376598444,100,0.1575334072113037
41,358.9999323965417,100,0.1690826416015625
42,357.9999217822822,100,0.16633224487304688
43,356.9998699559718,100,0.16375494003295898
44,355.99980344079376,100,0.18084359169006348
45,354.9998820644762,100,0.18000078201293945
46,353.9999014240799,100,0.18273448944091797
47,352.99990542657036,100,0.18726587295532227
48,351.99990704524475,100,0.1802382469177246
49,350.99980343573225,100,0.18078041076660156
50,349.99986896052724,100,0.1883988380432129
