K,MSE,ITERATIONS,EXECUTION TIME
2,2080.30108786857,1511,2191.221832036972
3,1630.4529659868972,1696,2518.2255487442017
4,1372.938779027767,2158,3322.7176814079285
5,1203.1637851939618,2086,3277.616956472397
6,1051.0789503452297,1975,3175.052537202835
7,958.2048650557367,2152,3518.1075673103333
8,895.8403603768342,2652,4382.01757144928
9,838.6985239334499,2552,4258.027477025986
10,784.1114627713177,2237,3766.608721971512
11,739.7827208565075,1961,3358.3637249469757
12,701.7553959382374,2465,4232.287296295166
13,669.6064877100016,2303,3982.7475192546844
14,642.676108781366,2407,4176.112583875656
15,616.2488943488439,2750,4813.549078702927
16,595.3220876028254,2337,4124.0952208042145
17,578.3085112405764,2408,4274.882900714874
18,561.6622042297547,2248,3982.0286405086517
19,547.1255012198992,2334,4149.359217166901
20,533.3953419069364,1961,3515.5560009479523
21,519.9476743966018,1855,3334.2999863624573
22,506.8506655474433,2085,3740.7682888507843
23,494.2186345235562,1876,3371.6630182266235
24,482.08422384703994,1905,3439.94229722023
25,470.5719210342042,1963,3525.6649589538574
