K,MSE,ITERATIONS,EXECUTION TIME
2,2080.30108786857,1127,1524.4351923465729
3,1630.4529659868972,1693,2169.0898604393005
4,1372.938779027767,2471,3257.190447330475
5,1203.1641199612588,2008,3043.5253188610077
6,1051.0789503452297,2165,3272.7247970104218
7,958.204818062829,2145,3495.7589440345764
8,895.8301913283373,2331,3915.106655359268
9,838.6985239334499,2486,4304.468066215515
10,784.1113485859983,2972,5026.926336288452
11,739.7827801921471,3135,5424.8649361133575
12,701.7553916891287,3267,5788.291903972626
13,669.6094461544839,3319,6061.246884584427
14,642.6794630435279,3420,6391.615341663361
15,616.2571067361756,3567,6813.189898729324
16,595.3223477351577,3646,7519.0141479969025
17,578.6410061750142,3813,8130.199210643768
18,564.2492015351147,3866,7704.2646107673645
19,547.9333679045365,3883,7934.210205793381
20,534.5076103851441,3807,8045.127464771271
21,520.9251987048069,4220,8724.257184267044
22,507.7603138217312,4123,8780.644847869873
23,495.05386688596343,4343,9481.693900823593
24,484.042196579234,4172,9330.516704320908
25,472.15688695172827,4078,9252.913707733154
26,460.3448717220889,4030,9789.367362499237
27,451.6041184182454,4335,10380.857747793198
28,444.45788247344734,4288,10173.934898853302
29,434.5689516711523,3968,9956.652935028076
30,425.77131597314565,4218,10409.144437551498
31,419.07031262967735,4033,10430.579586267471
32,412.88048047866914,4175,10776.076944589615
33,408.35717090810743,4178,10976.858727931976
34,401.5385919036762,4398,11961.08421254158
35,392.3784260042282,4458,11610.10104727745
36,388.0212892351658,4464,11784.136522769928
37,384.2816184083062,4535,12045.001437425613
38,378.20053970249694,4743,12441.07257604599
39,372.59822327181286,4396,12272.601778507233
40,370.18703393041744,4537,12629.18324637413
41,365.61278192673285,4513,13008.115268945694
42,359.51289308251063,4576,13186.348127365112
43,356.75680961996363,4431,13043.12265753746
44,352.8670408296408,5022,13850.958537340164
45,350.33764318405827,4520,13516.534449577332
46,345.16767111623886,4664,13879.185237646103
47,340.61422535302694,4439,14007.070760726929
48,336.98933797762027,4609,14434.255194425583
49,336.37180775180235,4603,14598.193439006805
50,332.66909441431216,4792,14715.44707274437
