K,MSE,ITERATIONS,EXECUTION TIME
2,2080.30108786857,1115,1645.860143661499
3,1630.4529659868972,1683,2541.0792338848114
4,1372.938779027767,2699,4182.435086250305
5,1203.164107105128,2200,3496.718830347061
6,1051.0789503452297,2434,3938.542796611786
7,958.204818062829,2365,3907.2186484336853
8,895.8293881666666,2614,4369.548297166824
9,838.6985239334499,2638,4426.419386148453
10,784.1113866138423,3181,5306.001167535782
11,739.7828501998674,3525,5931.973247528076
12,701.7558724693899,3545,5990.91977930069
13,669.6071841943885,3473,5902.68137049675
14,642.6826234870933,3505,5987.074935674667
15,616.2498860288765,3625,6249.845168352127
16,595.3223477351577,3829,6594.273360967636
17,578.3105392599923,4087,7052.885174036026
18,561.6601229343238,4081,7017.432925701141
19,548.4288420487552,4139,7170.209406614304
20,536.5150619967192,4208,7224.143075704575
21,522.075484603768,3981,6870.787724018097
22,507.75650532864216,4071,7032.523696422577
23,495.4104540000068,4023,7142.272374391556
24,484.6438598603478,4212,7718.0008063316345
25,470.5991977106189,4830,8870.473867416382
26,464.45175514364695,4355,7851.467351198196
27,451.94435551000197,4476,8195.674906253815
28,445.26160711238265,4480,8204.174972057343
29,436.2591250721538,4523,7937.448139667511
30,427.44442153130274,4454,8218.452175617218
31,419.3885767070608,4663,8617.284956932068
32,413.50121623567003,4584,8466.353652238846
33,409.21832125785465,4668,8626.994928121567
34,401.4614972872129,4621,8536.97022986412
35,394.90986065467337,4809,8796.292194128036
36,386.0129907928929,5250,9553.181414604187
37,384.4216031578483,5109,9245.173835039139
38,376.47335459658086,5142,9184.025527238846
39,375.39656819839917,5123,9121.545502901077
40,367.82661495253205,4991,8942.748826742172
41,365.1239839203365,5067,9061.69159412384
42,359.86928518857343,5167,8821.815997362137
43,357.2291066198934,5204,9137.10681962967
44,355.1625562693434,5104,9338.394714832306
45,351.25671032633693,5520,10112.70418381691
46,347.3284007736926,5291,9783.846013784409
47,343.6905018153103,5052,9295.453080177307
48,338.8004425696134,5377,9798.980942249298
49,337.65964205367544,5601,10194.56001830101
50,332.3663953267594,5170,9442.553963184357
