K,MSE,ITERATIONS,EXECUTION TIME
2,10541.295894231325,1290,1979.2310321331024
3,10360.439555652945,1366,2106.419423341751
4,10215.297193796812,1302,2071.4024460315704
5,10090.846679837514,1215,1982.016923904419
6,9972.578037370464,1364,2244.1465122699738
7,9859.567507908507,1622,2696.3062691688538
8,9750.788222314732,1624,2807.351231098175
9,9647.38868668058,1433,2482.0935299396515
10,9574.500468248467,1470,2595.9538362026215
11,9508.507459352728,1504,2663.6186742782593
12,9446.006793768624,1627,2920.595727443695
13,9386.539012702131,1442,2607.4973862171173
14,9332.121931981585,1429,2590.8724155426025
15,9279.437275822616,1254,2320.849977016449
16,9232.749916754086,1479,2688.642340660095
17,9186.492250617415,1362,2503.823577642441
18,9142.549604622116,1186,2214.319482088089
19,9099.86522398375,1389,2565.8313522338867
20,9060.471456735697,1368,2548.712718486786
21,9020.606149870539,1136,2147.6455731391907
22,8987.868123439119,1332,2507.969928741455
23,8955.204763840378,1307,2477.457376241684
24,8923.247767837684,1058,2040.7334387302399
25,8891.640667220225,1027,1988.6960303783417
26,8861.371627992841,913,1787.2316317558289
27,8833.16180018369,1115,2146.7896065711975
28,8805.892460248022,1058,2048.084532737732
29,8778.9570037857,987,1923.334609746933
30,8752.536131705183,771,1540.001606464386
31,8728.262086206214,957,1870.8285801410675
32,8707.020992365586,1217,2330.443210363388
33,8685.866919018805,1095,2120.5182580947876
34,8659.863015591087,820,1632.571145772934
35,8639.069184463828,1067,2073.631662607193
36,8617.76027182232,1024,1997.4730250835419
37,8597.191435817713,940,1853.4128963947296
38,8576.838836725958,922,1818.5918428897858
39,8557.965439509358,910,1778.724939584732
40,8539.173129529976,673,1380.0483560562134
41,8520.007561918934,918,1794.2925248146057
42,8501.215251571617,826,1631.8634419441223
43,8482.468321653114,867,1703.2418434619904
44,8464.114187715553,815,1612.0568430423737
45,8446.204470119388,703,1413.9187941551208
46,8429.202208649775,838,1652.2401609420776
47,8412.572560197917,671,1358.7451102733612
48,8396.303499169942,641,1307.4141311645508
49,8380.19842372444,842,1674.3662025928497
50,8364.41090329007,612,1254.6184706687927
