K,MSE,ITERATIONS,EXECUTION TIME
2,10541.298698300714,1802,2933.0255074501038
3,10360.448551955504,2451,4111.339106321335
4,10215.296821629141,2808,4916.118153810501
5,10090.853255402622,2899,5299.9383137226105
6,9972.575823367337,3088,5787.542110919952
7,9859.575154793289,2922,5732.708952188492
8,9750.801527123891,3146,6268.104090929031
9,9647.384131721315,2958,6131.52828168869
10,9574.497289644329,3088,6440.722861051559
11,9508.304321514248,3078,6601.750608205795
12,9446.004115414697,3482,7395.231241941452
13,9391.244706436555,3181,7203.052547454834
14,9340.018305787135,3419,7728.762377023697
15,9285.890107732252,3201,7520.940313816071
16,9243.370210283358,3487,8182.115923643112
17,9200.980169039573,3373,8140.534284114838
18,9143.28829751548,3636,8822.01534128189
19,9104.095724674611,3542,8726.848311901093
20,9070.67106338113,3545,8699.745307922363
21,9040.87338844263,3718,9171.07565999031
22,9008.750709469947,3830,9454.475390672684
23,8962.247069199391,3943,9795.015717506409
24,8938.71799385894,3443,9110.560668230057
25,8896.951942544812,3729,9719.473374843597
26,8881.029283900507,3752,9882.675288438797
27,8847.795987030204,3785,10051.898854017258
28,8817.135788853368,3799,10200.707701921463
29,8799.60735023453,3622,10036.012291669846
30,8769.84518787841,3871,10575.86611866951
31,8752.16901047742,3811,10665.908928871155
32,8727.391949455705,3864,10836.668991565704
33,8701.747266558818,3917,11074.747925281525
34,8690.720934006427,4100,11550.63143157959
35,8665.755949058068,3973,11437.912348747253
36,8643.317500242181,3864,11379.647753715515
37,8627.951195010632,3678,11186.273941755295
38,8603.17164762003,3897,11436.771859645844
39,8585.245956223162,4003,12244.204817771912
40,8558.750037473896,3786,11966.57002067566
41,8540.919770735833,3865,12278.552940130234
42,8522.678845075447,3917,12438.359820127487
43,8504.96134169155,4074,12827.550521850586
44,8494.921732890489,4083,12982.545679569244
45,8478.902320501684,3937,12843.775327205658
46,8455.193581390302,4015,13133.332404136658
47,8436.207388502757,3860,13017.006929397583
48,8428.335376230829,4046,13429.820970058441
49,8416.282816832776,3944,13424.424747228622
50,8401.477933439186,3819,13333.350244522095
