K,MSE,ITERATIONS,EXECUTION TIME
2,298484.96799635654,1784,2999.247482776642
3,249411.66413989186,2372,3857.7567570209503
4,218816.6618590798,2903,4762.902897834778
5,198710.63754068222,1739,3025.9773530960083
6,179443.43136771274,2165,3767.7184841632843
7,161666.50917233975,1861,3314.616877555847
8,151530.1145204586,1872,3376.4959433078766
9,143088.9899970892,1899,3619.6573367118835
10,135557.75735332232,2280,4669.2958216667175
11,129068.41628828156,2084,4303.964313983917
12,123270.85315779725,2012,4212.138499259949
13,117507.44327123645,2128,4446.305480480194
14,113601.5298308885,2484,5188.032760858536
15,110417.48750322525,2087,4312.040248632431
16,107280.78921243116,2318,4608.648185968399
17,104262.1348357203,2385,4746.7905921936035
18,101606.98413914393,2123,4429.928901672363
19,99011.84311762023,2418,5088.756948709488
20,96461.66875137483,2451,5089.912956953049
21,94080.65874992321,2000,4183.43381690979
22,91812.42512677523,2028,4219.213771104813
23,89727.06074766978,2181,4804.649293899536
24,87781.19329295262,2232,5097.267548561096
25,85903.18698634568,2174,4944.87818312645
26,84090.26492171071,2029,4617.7738246917725
27,82633.43423071655,2172,4963.077492237091
28,81231.48805062416,1970,4491.027611017227
29,79886.3714965001,1880,4301.7593994140625
30,78579.74630149086,1770,4082.692173242569
31,77276.69413453368,1779,4078.9167704582214
32,76114.84415095346,1857,4248.925362586975
33,74998.56913220702,1911,4357.486599445343
34,73896.83332969729,1943,4423.335788011551
35,72877.90813391209,1839,4202.944347143173
36,71882.38377842591,1901,4334.924881219864
37,70996.76068549088,1847,4220.942535877228
38,70112.90105700408,1935,4429.110331535339
39,69231.28257984726,2033,4685.142443418503
40,68356.52852923021,2024,4730.3083319664
41,67527.73773817728,1936,4447.665721893311
42,66701.3535087163,1882,4296.493748188019
43,65877.73707959185,1928,4401.415828466415
44,65081.41132827291,1875,4301.893938541412
45,64335.95530882385,1967,4501.950273990631
46,63681.53667139893,1765,4112.973082780838
47,63040.219300819736,1654,3850.241747379303
48,62410.47166638111,1795,4114.5031914711
49,61801.095551671446,1599,3703.1458897590637
50,61269.10866726199,1820,4195.753922462463
