K,MSE,ITERATIONS,EXECUTION TIME
2,298484.96799635654,1860,3112.5579204559326
3,249411.66413989186,2427,3939.8834466934204
4,218816.6618590798,2939,4815.72581410408
5,198710.63754068222,1779,3091.88662314415
6,179443.427923775,2199,3815.6635444164276
7,161666.50917233975,2024,3586.8424055576324
8,151530.1145204586,2111,3772.4492897987366
9,143088.9695486867,2114,4165.952679157257
10,135557.75735332232,2113,4348.217740535736
11,129068.10374472596,2253,4642.634393930435
12,123270.52315266634,2128,4445.136517763138
13,117507.45181935471,2116,4411.360535860062
14,113601.5298308885,2111,4440.1080503463745
15,110417.6269583109,2088,4255.173131227493
16,107280.73558482656,2177,4335.494349002838
17,104261.82639069835,2168,4329.489626169205
18,101607.01636380822,2262,4721.684261798859
19,99012.21843433342,2256,4756.276899337769
20,96463.90610772645,2176,4537.158242702484
21,94082.11028306144,2057,4298.600485801697
22,91812.45375774874,2045,4252.004370689392
23,89727.62465541706,2135,4676.497576236725
24,87780.88377897459,2346,5340.679783582687
25,85903.23272951339,2217,5032.335683345795
26,84089.25841568588,1970,4487.484223127365
27,82632.47025442081,2112,4828.191550254822
28,81230.11683183818,2071,4698.797433614731
29,79884.82977347236,1988,4524.931743621826
30,78578.95089235612,1913,4379.841007947922
31,77275.92871194036,1726,3946.555234670639
32,76114.3813948847,1933,4398.953170537949
33,74997.69175777215,1859,4229.203460931778
34,73896.96398443889,2006,4557.166177988052
35,72878.34263422628,1917,4368.032841682434
36,71884.31294010777,1852,4220.319714784622
37,70997.36788558346,1941,4422.071528434753
38,70110.44159899301,1914,4379.825258970261
39,69223.91637330136,2025,4664.971416711807
40,68346.88473041217,2275,5269.7695252895355
41,67518.36454135187,1939,4437.302197933197
42,66696.97816614617,1984,4517.737090826035
43,65877.07559344932,1949,4450.679780960083
44,65082.25804742782,1788,4108.033335447311
45,64336.33699314444,1836,4217.4715695381165
46,63682.66291187513,1631,3823.6399309635162
47,63040.81309431072,1662,3860.1768000125885
48,62411.951766316735,1743,3999.10186624527
49,61801.47886358352,1690,3902.9058129787445
50,61269.52920611476,1618,3732.5165886878967
