K,MSE,ITERATIONS,EXECUTION TIME
2,298484.96799635654,1841,2956.206411600113
3,249411.66413989186,2012,3464.115473508835
4,218816.6618590798,2485,4994.058174133301
5,198710.58606708384,2387,5757.234129190445
6,179443.50325307192,2291,5809.854469299316
7,161666.505322488,2192,5910.701021432877
8,151530.1145204586,2485,6653.964079618454
9,143089.6999816188,2415,6776.3569276332855
10,135557.64822108974,2640,7424.487744569778
11,129068.03542757957,2772,7858.444374084473
12,123270.52315266634,2775,8065.640048027039
13,117508.03629595574,2873,6805.339818477631
14,113602.26523353116,2902,6958.117550134659
15,110456.63502181802,3275,7717.7894785404205
16,107339.18073064348,3316,7981.224370956421
17,104265.39150540555,3256,8017.11910200119
18,101663.33343289449,3400,8416.423572778702
19,99098.88418280872,3641,9000.990734815598
20,96522.04545971795,3372,8683.260793209076
21,94209.72658744943,3652,9322.34927368164
22,92085.63386266312,3755,9716.472208976746
23,90372.36763431632,3831,9933.635180234909
24,87916.64672229068,3859,10096.532749891281
25,86509.50493405723,4093,10642.468975543976
26,84453.3893130681,4519,11438.799724578857
27,83048.50433463245,4298,10724.774234771729
28,81644.10685545814,4283,10819.602635622025
29,79980.08291291498,4388,11627.262377262115
30,79165.89985885534,4154,14104.361228227615
31,77660.4364001579,4443,14823.840321779251
32,76293.81231946262,4331,14684.509611845016
33,75664.69558742378,4259,14599.480205535889
34,74438.64016977801,4447,15265.956002950668
35,73344.32370191079,4343,15133.630447626114
36,72419.9608767543,4437,15416.6215467453
37,71415.64107398549,4510,15755.511358261108
38,70633.45918003007,4580,14696.13348531723
39,69710.67679119753,4476,14545.760252475739
40,68712.04634345164,4375,14248.431167602539
41,67966.35838182236,4775,15090.402411699295
42,67310.5246267699,4757,15125.054132461548
43,66447.51823990053,4411,14550.98249077797
44,65320.646257967746,4298,14385.884375095367
45,64594.60580700323,4609,15072.326839208603
46,64333.41936438963,4621,15321.826930761337
47,63848.75412300146,4470,15537.130928993225
48,62873.8174899656,4787,15998.306021213531
49,62247.694266363644,4697,15947.18386054039
50,61861.515442691045,4455,15584.968050718307
