K,MSE,ITERATIONS,EXECUTION TIME
2,298484.96799635654,1765,2982.2445483207703
3,249411.66413989186,1907,3288.630321741104
4,218816.6618590798,2778,4896.450812339783
5,198710.60598178577,2234,4253.769293785095
6,179443.50739386462,2438,4999.152502536774
7,161666.505322488,2300,4784.586171627045
8,151530.1145204586,2644,5528.736862421036
9,143088.92610755964,2555,5431.948305845261
10,135557.73337726493,2709,5748.51841711998
11,129068.2500220382,2891,6188.960343837738
12,123270.8604534179,2722,5839.294677257538
13,117508.05424025249,2929,6288.115328788757
14,113601.65718896298,3207,6903.745946645737
15,110456.7301656326,3684,7941.1919984817505
16,107290.71830147645,3568,7746.26263999939
17,104513.3836179529,3524,7818.421615600586
18,101647.21444091505,4032,8787.941828489304
19,99067.92032719692,4158,9060.649048089981
20,96522.5974926851,3948,8648.465741872787
21,94365.17740830308,4060,8925.163525104523
22,91994.98166644918,3925,8607.991733789444
23,89782.00234256648,4165,8312.471419095993
24,88324.70338837508,4159,8266.475932598114
25,85949.5125311699,4655,9221.086438179016
26,85174.51065075213,4354,8700.876023292542
27,83038.00950176954,4329,8436.772008180618
28,81625.56726877671,4666,9033.286313772202
29,80258.77688835852,4579,8859.394921302795
30,79049.5559857276,4633,8951.317772865295
31,77895.71911823067,4394,8508.327166080475
32,76784.24580062745,4615,8872.695286750793
33,75881.21448443776,4662,8934.826258420944
34,75047.16535035794,4513,8625.945346593857
35,73755.30438972994,4733,9045.583044290543
36,72678.57871728594,4727,9033.54219675064
37,71313.65709941737,4354,8353.063187599182
38,70939.17216330423,4790,9173.588282346725
39,69604.65583479578,4733,9049.873842954636
40,68632.17423556084,4788,9395.39915060997
41,68018.78540385544,4614,8944.904518604279
42,67517.2438952702,4721,9114.621354103088
43,66570.52699924531,4843,9326.785765647888
44,66067.68670134057,5022,9673.073721647263
45,65480.291916237344,4844,9355.418066501617
46,64527.700116430235,5048,9603.038363695145
47,63865.191261754844,4922,9108.842350006104
48,63173.06622728616,5016,9276.297663927078
49,62740.889040243914,4759,8855.174904823303
50,62118.676403837446,4639,8846.221297979355
