K,MSE,ITERATIONS,EXECUTION TIME
2,6928.9901915611445,2351,3816.9222111701965
3,6100.818589464701,1831,2920.556427717209
4,5466.980769171291,2321,3922.9211101531982
5,5056.628567523823,1976,3424.5994596481323
6,4657.117940189674,2662,4645.488797426224
7,4336.795151834192,2339,4193.78780579567
8,4130.485401120503,2391,4339.064955949783
9,3940.0505778587208,2093,3863.9837079048157
10,3761.3890158029867,1805,3369.453042268753
11,3587.3248927146756,1980,3729.8407328128815
12,3453.244010641371,1961,3701.645679950714
13,3319.7816015000208,2034,3872.941032886505
14,3220.2684804067476,2219,4239.96722817421
15,3134.744976435527,2445,4657.474005222321
16,3050.935438306623,2353,4483.52400135994
17,2986.493808250046,2340,4466.466899871826
18,2921.788997921368,2167,4017.370374917984
19,2858.907517743739,1922,3595.240687608719
20,2796.417596449529,2171,4047.0739471912384
21,2737.627680701691,2127,3975.2364540100098
22,2682.160062261029,2002,3757.9974784851074
23,2629.640647154743,1997,3743.4631226062775
24,2577.1667500541103,2148,4033.5207076072693
25,2525.494054789684,1719,3300.6503772735596
26,2483.0066663525963,2095,3982.452470779419
27,2441.3184037775827,1888,3741.3083157539368
28,2400.6168169564353,2326,4230.555979728699
29,2364.1128785769697,1970,3594.85502243042
30,2330.7603830850203,2144,3887.224011659622
31,2299.880243642192,1943,3573.7330181598663
32,2271.284445247836,1737,3215.4286375045776
33,2242.596567816352,1991,3622.2920258045197
34,2216.103482024532,1991,3656.755471229553
35,2190.226137156497,2081,3778.9926471710205
36,2164.834341613893,2030,3684.854439973831
37,2141.7291117678187,1941,3533.7537317276
38,2118.875141443772,2088,3811.3995068073273
39,2096.9197680805855,1953,3566.9298236370087
40,2074.452759266891,1799,3302.4914543628693
41,2053.0291368818116,2129,3878.4915680885315
42,2032.9165861668216,1956,3580.603978872299
43,2013.8394742279052,1934,3539.331333398819
44,1994.9500321196724,1838,3369.9727919101715
45,1976.421350827573,1843,3383.437129020691
46,1958.5176295192352,2006,3675.0016853809357
47,1940.7070438920362,1673,3099.1025009155273
48,1924.369719812914,1800,3349.840492248535
49,1908.0854771059855,1978,3668.5452835559845
50,1892.1308826816762,1589,3014.7536537647247
