K,MSE,ITERATIONS,EXECUTION TIME
2,6928.9901915611445,1262,2665.691977739334
3,6100.818898712127,1912,4077.342455148697
4,5466.980769171291,1794,4134.402881145477
5,5056.6296943055595,2077,4923.211262226105
6,4657.117222720486,2270,5568.043016195297
7,4336.798332670361,2459,6122.357709169388
8,4130.479598917413,2644,6766.191104650497
9,3940.0346498521026,2637,6957.439946889877
10,3761.3826066396396,2820,7512.961254358292
11,3587.288369129582,2774,7620.203475952148
12,3453.243111936124,3033,8350.127344369888
13,3319.7836623260473,3328,9249.791873455048
14,3220.2737820654775,3238,9273.772958755493
15,3134.7488238725073,3224,9224.140362739563
16,3050.930629567099,3691,10487.177126169205
17,2986.613387221762,3758,10797.579747915268
18,2923.776623378786,3704,10508.973244667053
19,2858.886600704276,3648,9869.85931801796
20,2804.1109272800686,3977,10653.879747152328
21,2747.7984247119607,3678,10129.514191389084
22,2692.6115826677787,3565,10005.462399244308
23,2637.0608720526807,3736,10472.925839424133
24,2586.5163936425215,3897,10918.744860887527
25,2545.8751886707964,3749,10733.540880203247
26,2500.3134945146858,4057,11337.97238445282
27,2439.972341026957,3804,10992.31540799141
28,2397.58089637863,3871,11253.15184044838
29,2371.8071782842835,4273,12192.11934351921
30,2341.539505466223,3890,11639.292495250702
31,2315.6364347260487,3968,12288.188798189163
32,2275.865789417698,4067,12324.06895160675
33,2251.4732172960053,4242,12750.862325906754
34,2226.892248005251,3957,12362.975535869598
35,2202.6491777911924,4268,13046.476751804352
36,2175.169860260521,4313,12725.592972517014
37,2150.823345732522,4039,12336.416793584824
38,2130.703109986919,4224,13407.060664653778
39,2103.2524531472914,4280,12783.229192972183
40,2089.5275614698676,4135,12616.328794240952
41,2067.277299123088,4126,12658.171885967255
42,2051.366073142123,4389,13289.560876131058
43,2030.1203606985944,4523,13643.934548854828
44,2004.264380487397,4458,13780.368915081024
45,1995.795970353119,4427,13318.94690656662
46,1974.3967135022492,4375,13154.61239695549
47,1962.093564998353,4501,13449.260491132736
48,1950.6308318098263,4587,13685.9526720047
49,1923.566132406153,4290,13287.708774089813
50,1901.890489436834,4584,13954.514325380325
