K,MSE,ITERATIONS,EXECUTION TIME
2,8699.960379479327,2773,4072.8964467048645
3,7988.214127351213,2608,4015.151155948639
4,7481.021879340571,2113,3397.396678209305
5,7057.226047550797,1901,3194.0990891456604
6,6676.997965992839,2217,3757.301240682602
7,6322.870299290424,2283,3902.5760288238525
8,6067.803088757893,2374,4124.460104227066
9,5824.382492482273,2634,4605.80464553833
10,5584.627855211942,2802,4969.558465480804
11,5417.450969219508,2836,5047.4882962703705
12,5271.38721861445,2881,5113.980443239212
13,5147.493356746706,2885,5157.476925849915
14,4991.372049874743,3128,5598.503444671631
15,4877.9154071957255,3248,5826.767611980438
16,4759.4633814230765,3348,6020.44807600975
17,4678.732679193585,3415,6184.13288974762
18,4591.225823728886,3321,6025.22040104866
19,4506.4272397739,3563,6489.808683156967
20,4426.213231769643,3826,7037.995647907257
21,4345.599666060428,3756,6940.324070215225
22,4272.076199647672,3934,7191.185508489609
23,4202.7216463023215,3854,7052.983584165573
24,4144.879033377958,3955,7222.996350288391
25,4076.019149333124,4054,7416.153712511063
26,4029.579940728391,4040,7395.497995138168
27,3969.2374139872877,4013,7346.772449493408
28,3896.899008956756,3924,7195.53680229187
29,3857.752898480264,4525,8263.314776659012
30,3828.0322995050515,4492,8214.814944028854
31,3772.3292597177847,4193,7615.418273687363
32,3722.3109803968973,4405,7963.331965446472
33,3704.399365309472,4232,7436.2709012031555
34,3651.22543592471,4566,7688.13120174408
35,3627.406891309088,4331,7523.463371038437
36,3594.5712575515945,4745,8213.346935510635
37,3540.529709252194,4427,7654.333078145981
38,3524.7258848753354,4556,7869.288472890854
39,3489.7851877797957,4615,7975.59935259819
40,3461.835545177475,4482,7753.992260932922
41,3428.8311922569046,4590,7942.65530371666
42,3402.2055063232237,4692,8011.561802387238
43,3383.7246788158873,4516,7729.031763315201
44,3363.895204860205,4761,8197.248465776443
45,3341.8687449396684,4839,8452.209179639816
46,3305.689995062173,4537,7870.732996702194
47,3281.6489550758097,5132,8973.174188375473
48,3259.5391886348652,4755,8318.149349689484
49,3243.735929552925,4718,8224.719398498535
50,3215.8463831328613,5069,8762.180313825607
