K,MSE,ITERATIONS,EXECUTION TIME
2,15.401688356527847,3632,22.699203968048096
3,8.682423414106854,10103,44.44230389595032
4,5.757276973359767,9823,38.62643384933472
5,3.848041258751928,12683,44.72009539604187
6,2.8993471382970233,15804,54.26991868019104
7,2.1238107892657654,17111,55.40867328643799
8,1.7423236052564004,12854,41.516655683517456
9,1.3729723209987321,13995,40.416545152664185
10,1.1241009543214586,20885,56.57043957710266
11,0.9142806227208592,19318,45.518296241760254
12,0.7996975294485298,13406,30.992005348205566
13,0.6874286716920609,15316,29.277441263198853
14,0.6045335887428349,15879,30.430264234542847
15,0.5344504375544266,15203,29.575578689575195
16,0.46656540026642535,11396,23.207433938980103
17,0.41140606939908275,11965,24.375810384750366
18,0.3653658963898342,10586,21.832284212112427
19,0.32916977829859984,10805,23.0524582862854
20,0.2991370418815783,12788,26.589074850082397
21,0.27137898690460305,11677,24.97506070137024
22,0.2464561974944336,11666,25.400847911834717
23,0.22475008122834805,11949,26.56622314453125
24,0.20382846825604728,12788,28.166135787963867
25,0.18900641612622615,10870,25.05184817314148
26,0.17493122498787983,11066,25.3565034866333
27,0.16221335702161876,8895,20.366469383239746
28,0.15058100313054235,8935,20.68336844444275
29,0.13952338488245686,9038,22.25864839553833
30,0.12913877180616773,8944,20.966750860214233
31,0.1199875927753492,8768,20.86648440361023
32,0.11273137904567854,9772,23.224998235702515
33,0.10572161528279889,9742,23.674972534179688
34,0.09904412863524692,8473,21.041688919067383
35,0.09237128228479263,8467,21.32836890220642
36,0.08610860136345022,8632,21.913349866867065
37,0.08008340193630004,8629,22.207767963409424
38,0.07470788529719341,8448,21.879345178604126
39,0.07093212547924288,7929,20.83961796760559
40,0.06727071892529257,8017,21.136168241500854
41,0.06361024270942517,7822,21.16696310043335
42,0.0600375508715173,7604,20.579386234283447
43,0.05660508140331999,7777,20.873990058898926
44,0.05340771050265092,7724,21.200985431671143
45,0.05048274132201913,7330,20.199387073516846
46,0.04783695065176974,6541,18.386062145233154
47,0.0456515589153248,6561,18.835833072662354
48,0.04371267087168429,6556,19.068198919296265
49,0.041896397544908814,6836,19.850491046905518
50,0.04016758083205629,6857,20.27559208869934
