K,MSE,ITERATIONS,EXECUTION TIME
2,15.401688356527847,395,2.3245418071746826
3,8.682423414106854,1268,5.283022165298462
4,5.757276973359767,1308,5.016613483428955
5,3.848041258751928,1289,4.458433628082275
6,2.8993471382970233,1423,4.591210126876831
7,2.1238107892657654,1827,5.5914177894592285
8,1.742401298366798,1280,3.9433891773223877
9,1.3734541436033458,1307,3.7984519004821777
10,1.1245050838156747,1650,4.417396545410156
11,0.9142806227208592,1773,4.176113128662109
12,0.7996975294485298,1198,2.793365001678467
13,0.6875208633132152,1185,2.288831949234009
14,0.6046827994390146,1199,2.3078176975250244
15,0.5345996482506062,1138,2.2254233360290527
16,0.46656540026642535,1059,2.1084327697753906
17,0.41140606939908275,933,1.9168286323547363
18,0.3653658963898342,967,2.007488965988159
19,0.32916977829859984,1001,2.1005029678344727
20,0.2991370418815783,906,1.9343249797821045
21,0.27137898690460305,955,2.0729734897613525
22,0.2464561974944336,864,1.8925814628601074
23,0.22475008122834805,959,2.117720127105713
24,0.20382846825604728,937,2.059145450592041
25,0.18900641612622615,756,1.7318668365478516
26,0.17493122498787983,953,2.1332781314849854
27,0.16221335702161876,684,1.6082737445831299
28,0.15058100313054235,735,1.7252533435821533
29,0.1397236310741975,748,1.7684435844421387
30,0.12933901799790837,674,1.6499409675598145
31,0.12018783896708984,674,1.6813933849334717
32,0.11293162523741918,669,1.6744368076324463
33,0.10592186147453952,745,1.842405080795288
34,0.09924901512408524,639,1.6255011558532715
35,0.0929781460773682,838,2.104506731033325
36,0.0867154651560258,656,1.703378438949585
37,0.08069026572887561,668,1.7529680728912354
38,0.07508303406370664,642,1.6989076137542725
39,0.07117710032694946,637,1.7040047645568848
40,0.06740134050899893,556,1.5262863636016846
41,0.06378138594763494,578,1.5926156044006348
42,0.06020991381200769,593,1.6407318115234375
43,0.05677744434381038,608,1.6834371089935303
44,0.053426292181704804,690,1.8909399509429932
45,0.05050132300107302,596,1.7093493938446045
46,0.047924756296945925,515,1.507904291152954
47,0.045739364560500984,466,1.399785041809082
48,0.043802542217228346,485,1.4598348140716553
49,0.04198626889045287,439,1.3565452098846436
50,0.04025623247531973,497,1.5010013580322266
