K,MSE,ITERATIONS,EXECUTION TIME
2,15.401688356527847,353,2.247741222381592
3,8.682423414106854,1121,4.795985698699951
4,5.757276973359767,1167,4.369389533996582
5,3.848041258751928,1316,4.400759220123291
6,2.8993471382970233,1498,4.961777210235596
7,2.1238107892657654,1850,5.541713714599609
8,1.7423473640286768,1316,4.047187328338623
9,1.3732544975606833,1407,3.8491501808166504
10,1.1243593721111333,1789,4.806782007217407
11,0.9142806227208592,1717,3.9748189449310303
12,0.7996975294485298,1227,2.9506053924560547
13,0.6874286716920609,1278,2.580080509185791
14,0.6045335887428349,1318,2.7626771926879883
15,0.5344504375544266,1259,2.5786120891571045
16,0.46656540026642535,1069,2.2747161388397217
17,0.41140606939908275,1124,2.4162323474884033
18,0.3653658963898342,998,2.217353582382202
19,0.32916977829859984,1028,2.2829511165618896
20,0.2991370418815783,1022,2.2915525436401367
21,0.27137898690460305,1060,2.4085309505462646
22,0.2464561974944336,1029,2.3401942253112793
23,0.22475008122834805,1070,2.3922948837280273
24,0.2038310687732391,1095,2.475830316543579
25,0.18900901664341796,862,2.0319793224334717
26,0.17493382550507164,914,2.1588692665100098
27,0.16221595753881057,771,1.9077613353729248
28,0.15058360364773415,783,1.9513981342315674
29,0.13953261538366746,754,1.890915870666504
30,0.12914800230737833,713,1.8178331851959229
31,0.1199968232765598,719,1.8404598236083984
32,0.11274060954688914,689,1.774022102355957
33,0.10573084578400949,722,1.8671376705169678
34,0.09901404340579334,703,1.8355934619903564
35,0.09234119705533905,649,1.7468135356903076
36,0.08607851613399664,678,1.8259687423706055
37,0.08005331670684646,694,1.8916401863098145
38,0.07470788529719341,633,1.76847243309021
39,0.07093212547924288,633,1.7642695903778076
40,0.06727071892529257,657,1.8337373733520508
41,0.06361024270942517,615,1.758739709854126
42,0.06003877057379792,615,1.7580792903900146
43,0.05660630110560061,640,1.850724697113037
44,0.05340893020493154,613,1.7910170555114746
45,0.05048396102429975,575,1.7347018718719482
46,0.04790739432017266,512,1.5904998779296875
47,0.04572200258372772,513,1.602893352508545
48,0.04378311454008721,507,1.579420804977417
49,0.041966841213311734,522,1.6591391563415527
50,0.040236804798178594,498,1.5999507904052734
