K,MSE,ITERATIONS,EXECUTION TIME
2,199.9895994326551,3568,23.860997676849365
3,169.77295151041983,14644,67.90984511375427
4,140.22416359603116,14169,63.28458333015442
5,125.19982429527926,16283,71.28568959236145
6,111.17668332750941,15881,63.800331115722656
7,103.3070126566445,16939,62.932026863098145
8,95.52541309774251,15227,50.30479621887207
9,90.3574782196088,16744,49.89096188545227
10,85.96941424090012,14564,39.11146378517151
11,81.74192599455873,14615,34.65788245201111
12,78.36861332637861,13527,29.277838706970215
13,75.68199237708794,12618,31.235716342926025
14,73.07066191314847,11387,27.27912950515747
15,70.95382932615675,10643,24.567173957824707
16,69.00884339555454,10357,25.65408730506897
17,67.11914602196492,10005,25.56832504272461
18,65.40904488735109,10007,26.23424530029297
19,63.778039962357916,9560,24.183770179748535
20,62.27353016390726,9292,24.38045024871826
21,60.82810058013726,9112,24.986826181411743
22,59.423937866019735,8597,23.40523862838745
23,58.050228471443404,8657,24.336949348449707
24,56.756685983240985,8278,20.066242456436157
25,55.573485807682694,7579,18.569765329360962
26,54.39719728102452,7484,18.548004388809204
27,53.31730493009796,7425,18.566556215286255
28,52.38826333963102,7203,18.367072343826294
29,51.500696117997954,6847,18.132898330688477
30,50.658688846332595,6632,18.42972731590271
31,49.75350205649629,6783,21.237334489822388
32,48.94905788108263,6555,19.09888529777527
33,48.170110940613284,6311,17.61677885055542
34,47.40081226855564,6004,16.716982126235962
35,46.64473623077133,6017,16.966017961502075
36,45.919108458647884,5877,16.866621732711792
37,45.224423008109966,6030,17.3001229763031
38,44.57028596913298,5841,16.91662073135376
39,43.93089976733992,5795,16.98312211036682
40,43.352631136814395,5777,17.033354997634888
41,42.82210330931521,5550,16.450762033462524
42,42.29812593320827,5418,16.16600465774536
43,41.79204277769965,5319,16.15057873725891
44,41.301082605545204,5350,16.36593747138977
45,40.82612761076496,5366,16.300824403762817
46,40.360782037123556,5338,16.4677095413208
47,39.90127847768481,5264,16.82892346382141
48,39.448237330213985,5253,16.43588399887085
49,38.996043967519824,5028,15.883237838745117
50,38.532522839011136,5087,16.15184712409973
