K,MSE,ITERATIONS,EXECUTION TIME
2,199.9895994326551,369,2.5503392219543457
3,169.77295151041983,1617,8.097798585891724
4,140.22416359603116,1641,6.870224475860596
5,125.19982429527926,1793,6.834041357040405
6,111.17668332750941,1693,6.119836330413818
7,103.3070126566445,1809,6.163724422454834
8,95.52607788903747,1595,5.084148645401001
9,90.35767509896819,1678,4.936121225357056
10,85.97667863478217,1439,3.9309394359588623
11,81.73735060436005,1352,3.390181541442871
12,78.36560608031154,1314,3.009707450866699
13,75.68101326041149,1111,2.615220785140991
14,73.08842987332682,1040,2.419811964035034
15,71.02546634608169,890,2.015096664428711
16,69.06866451254697,993,2.339797019958496
17,67.18043036117483,882,2.020160436630249
18,65.49375800845715,931,2.1584036350250244
19,63.823083298526,944,2.169787645339966
20,62.318573500075345,865,2.026632785797119
21,60.91070284155739,895,2.0734901428222656
22,59.51731218824014,816,1.959923505783081
23,58.226183744360085,761,1.845329999923706
24,56.946413130101746,734,1.8202524185180664
25,55.67159384428504,787,1.9552021026611328
26,54.48051263637227,702,1.771578073501587
27,53.38524729228918,618,1.6317791938781738
28,52.44247100767872,631,1.656247615814209
29,51.55520567292855,582,1.5437695980072021
30,50.73003158952189,565,1.531273365020752
31,49.90575909857126,541,1.499866008758545
32,49.026807446473605,542,1.5103607177734375
33,48.25591997602315,540,1.5197529792785645
34,47.4866213039655,521,1.5098950862884521
35,46.76161914542158,525,1.528876781463623
36,46.042619767137424,497,1.4813218116760254
37,45.354415095812904,530,1.5550808906555176
38,44.69692251543687,467,1.4700276851654053
39,44.067423117927916,509,1.5648608207702637
40,43.480189139665775,491,1.5120506286621094
41,42.905378483712084,497,1.5778276920318604
42,42.379292183404054,482,1.5499389171600342
43,41.86745917510566,451,1.4350922107696533
44,41.37372590281879,452,1.4539082050323486
45,40.895380972799984,432,1.4060633182525635
46,40.406249496376276,444,1.440298318862915
47,39.94715551783288,468,1.5534422397613525
48,39.488081530072236,437,1.4334774017333984
49,39.04275366420292,429,1.4378278255462646
50,38.59921640447044,429,1.4749670028686523
