K,MSE,ITERATIONS,EXECUTION TIME
2,199.9895994326551,379,2.5283753871917725
3,169.77295151041983,1541,7.045919895172119
4,140.22416359603116,1491,6.22033953666687
5,125.19982429527926,1703,6.3821656703948975
6,111.17668332750941,1700,5.950716495513916
7,103.3070126566445,1802,5.8833842277526855
8,95.52541309774251,1608,4.852010488510132
9,90.35749540984702,1696,4.565471172332764
10,85.97649894566099,1469,3.78309965133667
11,81.73717091523886,1575,3.6499412059783936
12,78.36243234403786,1282,2.849787712097168
13,75.68009975881935,1293,2.650275230407715
14,73.0885704848394,1128,2.3999650478363037
15,71.07239327896286,1082,2.334674596786499
16,69.20528844117192,1036,2.283796548843384
17,67.34442665803073,922,2.0483336448669434
18,65.60148667448199,1019,2.3000011444091797
19,63.88150366703077,966,2.2182886600494385
20,62.30604982735419,915,2.1302175521850586
21,60.80154002890354,920,2.1680634021759033
22,59.411099001312834,794,2.0226051807403564
23,58.03818368068454,892,2.2369842529296875
24,56.76811145170974,826,2.1944005489349365
25,55.60274438718545,748,2.382047653198242
26,54.433243286321094,740,2.3698770999908447
27,53.35229958095178,663,2.2511322498321533
28,52.424371217342404,592,1.9384541511535645
29,51.59411524166909,601,2.1271212100982666
30,50.76816575440564,538,1.9565191268920898
31,49.862978964569336,597,1.8274283409118652
32,49.0780215157615,580,1.8279087543487549
33,48.28764731870522,510,1.8075883388519287
34,47.51834864664757,491,1.7305879592895508
35,46.78271479508496,522,1.6582069396972656
36,46.05795123385939,533,1.665910005569458
37,45.37548196486249,546,1.7916157245635986
38,44.70321322150258,509,1.6466503143310547
39,44.07029893889745,499,1.6761550903320312
40,43.51840754627009,490,1.7206010818481445
41,42.94699182903493,500,1.675304889678955
42,42.431467867214465,502,1.7295997142791748
43,41.897728623678134,529,1.8202812671661377
44,41.38589561537974,432,1.5515823364257812
45,40.89565091209846,469,1.688392162322998
46,40.416987871996625,458,1.6483979225158691
47,39.94105955084197,482,1.7189645767211914
48,39.47973649341179,430,1.570176601409912
49,39.0349570540249,416,1.5506718158721924
50,38.59116308659365,435,1.6300711631774902
