K,MSE,ITERATIONS,EXECUTION TIME
2,199.9895994326551,227,3.065502643585205
3,169.77295151041983,1197,7.3916850090026855
4,140.22416359603116,1421,8.159218072891235
5,125.19982429527926,1601,9.149158239364624
6,111.17668332750941,1811,10.029784440994263
7,103.3070126566445,1871,10.344139337539673
8,95.52799127990367,2038,11.309025764465332
9,90.35951869382512,2127,11.407944440841675
10,85.89073295024899,2249,11.829313039779663
11,81.74064805751279,2231,12.168538093566895
12,78.39556583262723,2138,12.410334587097168
13,75.79748515859646,2108,12.53650450706482
14,73.57764866340118,2027,12.960417985916138
15,71.05708402738554,2046,13.660491704940796
16,69.28933207341746,2079,14.7832612991333
17,67.42198473549392,1996,14.774842262268066
18,65.99395861633242,1905,15.211104393005371
19,64.00750116561954,1896,15.819095373153687
20,62.730317512095425,1926,16.795077085494995
21,61.32714340383852,1807,17.276289463043213
22,60.08779196010775,1869,17.761916875839233
23,58.721215348272665,1866,17.69407892227173
24,57.54082326270927,1680,18.840033531188965
25,56.00484949182989,1702,20.935795307159424
26,55.27728813682896,1843,21.570350408554077
27,54.07065364903079,1697,20.419437408447266
28,53.59159509521638,1673,20.740241527557373
29,52.46500081548143,1678,21.45868754386902
30,51.60925675145058,1699,22.135371208190918
31,51.10145712437625,1571,22.497936964035034
32,49.822990886139536,1572,23.85001850128174
33,49.58014716689786,1645,24.042739629745483
34,48.63982224158184,1583,24.357414960861206
35,47.807816264309864,1510,25.085248947143555
36,47.125261260104566,1492,26.148252248764038
37,46.80762270107,1509,26.366196870803833
38,45.98123745469175,1433,26.666887760162354
39,45.27649742417674,1538,27.690019130706787
40,44.322486928966825,1504,28.326585054397583
41,44.01255456095365,1486,29.21656823158264
42,43.21947394499287,1513,29.768808364868164
43,43.08047489945034,1415,31.147995948791504
44,42.63840265578668,1435,30.9675714969635
45,42.134000508525325,1367,31.600034952163696
46,41.15189859843809,1353,32.0000102519989
47,40.922912493472474,1338,32.79990363121033
48,40.54754701090289,1349,33.59996795654297
49,40.15140359083989,1308,34.03341221809387
50,39.67767958291681,1275,34.41856861114502
