K,MSE,ITERATIONS,EXECUTION TIME
2,199.9895994326551,328,2.0526247024536133
3,169.77295151041983,1257,5.507363557815552
4,140.22416359603116,1510,6.078546524047852
5,125.19982429527926,1798,6.629836320877075
6,111.17668332750941,1969,6.711854457855225
7,103.3070126566445,1907,6.025343656539917
8,95.52625741059205,2177,6.352476596832275
9,90.46821637524404,2403,6.6298956871032715
10,85.88813983543506,2394,6.114619016647339
11,81.76877582903214,2206,5.505146265029907
12,78.76034398217226,2405,5.655583143234253
13,75.92601385266556,2299,5.470145225524902
14,73.28032793775857,2503,6.102279424667358
15,71.18549493574335,2304,5.416347980499268
16,69.34401402998778,2454,6.004655599594116
17,67.55547581140905,2376,5.547823667526245
18,66.09219770093642,2251,5.35568904876709
19,64.2469083243146,2078,5.051265001296997
20,62.76840555613918,2354,5.588773488998413
21,61.47337103590235,2261,5.4699931144714355
22,59.68104592412375,2127,5.30075216293335
23,58.97920765633798,2087,5.2912797927856445
24,57.78749359250599,2028,5.194235324859619
25,56.47846084963517,2021,5.570825815200806
26,55.86220571601899,2061,6.210685968399048
27,54.70724669768692,1941,6.37378454208374
28,53.27295337358973,2008,6.068364858627319
29,52.67701629097333,1953,6.813603401184082
30,51.998298787153345,1931,5.816191673278809
31,51.3835805330301,1902,5.607558012008667
32,50.29203839605363,1781,5.2500364780426025
33,49.65404613655401,1776,5.290626287460327
34,48.2975182779675,1875,5.6380815505981445
35,47.99439964514673,1729,5.312908172607422
36,47.364695485921985,1730,5.55180549621582
37,46.63747199652177,1689,5.453322410583496
38,46.10231899981923,1594,5.320720672607422
39,45.63369327211317,1765,5.885607004165649
40,44.86133168564895,1677,5.548095464706421
41,44.56718115708125,1660,5.566344738006592
42,43.690228531827074,1668,5.663763761520386
43,43.32807581506134,1564,5.485645055770874
44,42.498379773225714,1639,5.824059724807739
45,42.36217620571492,1597,5.714346170425415
46,41.65219302722513,1593,5.727621078491211
47,41.24991837629256,1509,5.602496147155762
48,41.42521225938414,1551,5.785374641418457
49,40.56036125703048,1604,6.309983968734741
50,39.86110570460731,1548,5.952147960662842
