K,MSE,ITERATIONS,EXECUTION TIME
2,55.464516284114,2752,20.485206842422485
3,39.12205722129832,9319,51.56913423538208
4,23.0884376667926,10176,52.051297664642334
5,17.512037924324176,11960,48.76107859611511
6,12.708698899630587,15381,58.69572567939758
7,10.788973264737198,17176,64.34284234046936
8,8.95993376864332,15815,59.425456523895264
9,7.917714572531279,15755,54.723910331726074
10,6.911263005066384,18767,62.56422829627991
11,6.180954939554147,17584,50.59506344795227
12,5.648112914930238,12439,31.52932357788086
13,5.2360315610168495,11455,26.535364866256714
14,4.911605172821074,12140,28.113463401794434
15,4.610777223882087,11707,28.504891395568848
16,4.3643187334715385,11113,26.216613054275513
17,4.119208766306398,10918,26.935954570770264
18,3.9035269686736758,11736,29.558833837509155
19,3.696616922077259,11336,28.69284439086914
20,3.505748689631141,10445,27.67988419532776
21,3.348728399351266,10462,26.8983895778656
22,3.1955291001503694,10191,26.476064682006836
23,3.059650856485555,9986,26.90616011619568
24,2.9354568008983293,9520,25.6676607131958
25,2.8195844626835607,9335,25.862779140472412
26,2.715163132747451,8797,24.44258213043213
27,2.6115995147574127,8626,24.162774085998535
28,2.5090142501881116,8521,25.01225471496582
29,2.4162573665575926,8480,24.25163745880127
30,2.325570407650252,7810,23.210493564605713
31,2.240461601296338,7624,22.615598440170288
32,2.169254645733241,7184,22.25716233253479
33,2.102344604547935,7268,21.8721125125885
34,2.0464019807785103,7043,21.730968952178955
35,1.9906605590493802,7076,22.064069986343384
36,1.9367093440678274,6649,21.42061710357666
37,1.8828503924644973,6680,21.625225067138672
38,1.830149416664093,6626,21.676525831222534
39,1.774003854392527,6622,21.475910902023315
40,1.7250038229012317,6227,20.663781881332397
41,1.678139556921525,6164,20.434423446655273
42,1.632730231818377,6299,21.61370062828064
43,1.587495444090035,6820,22.998175144195557
44,1.549322802673886,5952,20.241763830184937
45,1.511568242195811,6049,21.201355934143066
46,1.4741484007634136,6035,20.92694592475891
47,1.4393295283331349,6097,22.067840814590454
48,1.4056164599825718,6051,22.633774042129517
49,1.3732235620331248,5943,22.047366857528687
50,1.3428070651301258,5824,21.9250545501709
