K,MSE,ITERATIONS,EXECUTION TIME
2,55.464516284114,283,2.1786794662475586
3,39.12205722129832,1202,6.170846700668335
4,23.0884376667926,1166,5.205996036529541
5,17.512037924324176,1250,5.176557540893555
6,12.708698899630587,1676,6.5809853076934814
7,10.79533167107926,2083,7.703211069107056
8,8.966638631720016,1755,6.415680170059204
9,7.929278671331192,1618,5.640495300292969
10,6.9224806471316604,1955,6.470867156982422
11,6.180954939554147,1894,5.535334587097168
12,5.648215096501415,1405,3.5798449516296387
13,5.236133742588027,1197,2.7796976566314697
14,4.911815781568556,1361,3.158241033554077
15,4.616560618145937,1234,2.8844711780548096
16,4.365438287354429,1050,2.502596855163574
17,4.123061468491699,1073,2.7173643112182617
18,3.906866817658154,1101,2.730311393737793
19,3.706973989545597,1063,2.6600208282470703
20,3.51464946034269,997,2.5416529178619385
21,3.352775107059581,895,2.4613516330718994
22,3.2016224334945966,1030,2.636545419692993
23,3.0605245107632824,1006,2.6550371646881104
24,2.938177541571041,915,2.369166374206543
25,2.821259169619753,875,2.4996330738067627
26,2.716839843837184,869,2.328320026397705
27,2.614326052794226,848,2.4775192737579346
28,2.510762434804188,836,2.39974045753479
29,2.417570648022915,814,2.4543323516845703
30,2.3268498845344467,764,2.3244235515594482
31,2.2423008487798817,700,2.0188276767730713
32,2.1663175177076726,699,2.0843429565429688
33,2.099532322503664,637,2.015913963317871
34,2.0412329092406,635,2.077256917953491
35,1.987281694259047,587,1.8612020015716553
36,1.9334227426557167,605,1.9861814975738525
37,1.880603555861573,583,2.0211446285247803
38,1.8246214125429916,594,2.026898145675659
39,1.7727050587663258,557,1.9715251922607422
40,1.7255359493437412,499,1.8091137409210205
41,1.6792650084040077,527,1.8677103519439697
42,1.6348266097219437,571,1.9586021900177002
43,1.590727720665925,557,1.988640308380127
44,1.552816021387855,463,1.7312290668487549
45,1.5163681589883526,509,1.8373782634735107
46,1.481218487561005,495,1.926356554031372
47,1.448149709563554,522,1.9264655113220215
48,1.4164313749663933,502,1.8091983795166016
49,1.384817477732716,487,1.7725625038146973
50,1.3505508427344237,495,1.8106894493103027
