K,MSE,ITERATIONS,EXECUTION TIME
2,55.464516284114,298,2.1432437896728516
3,39.12205722129832,1046,5.150177717208862
4,23.0884376667926,1102,5.033828973770142
5,17.512037924324176,1306,5.827584505081177
6,12.708698899630587,1738,5.230903625488281
7,10.788973264737198,1957,8.042396306991577
8,8.960280225377954,1692,6.499181747436523
9,7.929278671331192,1639,5.714451789855957
10,6.9224806471316604,2043,6.748605012893677
11,6.180954939554147,1978,6.809667348861694
12,5.648215096501415,1318,4.353938579559326
13,5.23734771069579,1221,3.6754775047302246
14,4.913029749676317,1329,4.417510986328125
15,4.611053460692132,1223,3.670487880706787
16,4.364649057930681,1114,4.110020875930786
17,4.12227223906795,1040,3.026177167892456
18,3.906417250405771,1061,3.90431547164917
19,3.7043970746739556,1046,3.2886877059936523
20,3.5139212544179848,1005,3.4129533767700195
21,3.357009953453556,1069,3.6959571838378906
22,3.2039153782827743,959,3.042447090148926
23,3.069025650203289,949,3.1375579833984375
24,2.9378838308982607,961,3.149775981903076
25,2.821489952521782,869,3.0914697647094727
26,2.717926334531744,887,3.1167092323303223
27,2.6135126174245364,830,2.9423210620880127
28,2.5104687241314076,796,2.857067823410034
29,2.4197479606429395,760,2.6520392894744873
30,2.3299574948875046,728,2.8891007900238037
31,2.2420628463118506,728,2.9193758964538574
32,2.166208561779694,725,2.6384286880493164
33,2.099423366575686,658,2.2484374046325684
34,2.0411239533126215,626,2.3020169734954834
35,1.9871727383310684,624,2.349497079849243
36,1.9333137867277386,621,2.598789930343628
37,1.8813920616479494,591,2.3215510845184326
38,1.8260975502116923,648,2.673985719680786
39,1.776115016780397,623,2.62101149559021
40,1.7272493050603501,583,2.6737992763519287
41,1.6801735949932626,588,2.5544049739837646
42,1.6361511206446009,574,2.565680742263794
43,1.5902744581108983,587,2.2684755325317383
44,1.5528546166785009,509,2.099590301513672
45,1.5135902106089838,537,2.3535985946655273
46,1.4771423482094814,515,2.193387269973755
47,1.4437881423483512,469,1.9012997150421143
48,1.4090858597514846,508,1.952280044555664
49,1.3768108953468292,513,1.9867486953735352
50,1.34639439844383,473,1.8159446716308594
