K,MSE,ITERATIONS,EXECUTION TIME
2,55.464516284114,124,2.5498504638671875
3,39.12205722129832,879,5.974762439727783
4,23.0884376667926,1002,6.665716648101807
5,17.512037924324176,1155,7.535193920135498
6,12.708698899630587,1520,9.000191450119019
7,10.789567670216194,1903,10.55009126663208
8,8.960030718842468,1914,11.119064807891846
9,7.921890697820596,2047,12.390474319458008
10,6.911254806763592,2110,12.200031518936157
11,6.180676721706881,2020,12.186289072036743
12,5.649174946833074,2074,12.583698511123657
13,5.237479853629659,2184,13.292645692825317
14,4.9201919411578965,1984,14.385456323623657
15,4.615650986010864,1969,13.815701484680176
16,4.371380703590132,1911,14.182902812957764
17,4.1281816501197985,2057,14.920824766159058
18,3.914432953088503,1962,15.361973762512207
19,3.7452412515219446,1898,15.646109342575073
20,3.526706985348034,2107,16.651332139968872
21,3.3894731872198696,1857,16.820324897766113
22,3.2350713911881943,1977,17.799421072006226
23,3.079947538662217,1817,18.296162605285645
24,2.9808555821624125,2024,19.021753549575806
25,2.8632998352618935,2004,20.172889709472656
26,2.741835005400131,1935,20.735305070877075
27,2.654176459315053,1995,21.566229343414307
28,2.582340431751351,1835,22.327955722808838
29,2.449430170292752,1735,22.334838390350342
30,2.377285134108594,1801,23.069780588150024
31,2.3069793696831336,1925,24.68039870262146
32,2.2409795482381405,1771,23.747139930725098
33,2.1537402969237087,1757,26.262078285217285
34,2.100698460224048,1851,26.337046146392822
35,2.051136889733991,1742,26.113550662994385
36,1.9872767701737075,1764,27.610883712768555
37,1.9431842507619432,1787,29.74308681488037
38,1.894538744602348,1651,30.549856185913086
39,1.8400113549049748,1683,31.434479236602783
40,1.8005666256822952,1630,31.98702383041382
41,1.7482238053602672,1619,30.671424865722656
42,1.7032269868603271,1544,31.208739519119263
43,1.6769946754211218,1630,32.1208381652832
44,1.6396643405234994,1584,34.100740909576416
45,1.5920868261914798,1586,36.248159646987915
46,1.5662883769615865,1528,34.12141966819763
47,1.5270792960156598,1586,35.069146156311035
48,1.4909878795128024,1577,36.131019592285156
49,1.4693393157319343,1566,36.1806116104126
50,1.4360436482989223,1519,37.5275137424469
