K,MSE,ITERATIONS,EXECUTION TIME
2,374.123699923039,1526,376.4045248031616
3,288.2913684999619,1495,353.24996066093445
4,248.5299008568395,2733,631.5115566253662
5,227.34232441889225,2042,481.5421018600464
6,210.4147238987589,1484,355.0336797237396
7,201.9107139322012,1725,414.94168972969055
8,197.27265189430585,1767,426.0079848766327
9,193.23084549553897,2265,536.1556873321533
10,190.04501316153159,2362,559.5345878601074
11,188.42806922673884,2533,607.6586313247681
12,186.9512215674502,2516,599.9520969390869
13,185.49091237084338,2929,694.6227958202362
14,184.0835389457509,2496,595.3342251777649
15,182.70224368775285,2435,581.606210231781
16,181.54694475000815,2406,577.7256252765656
17,180.43957681466662,2172,525.391298532486
18,179.3826250377939,2039,489.6566948890686
19,178.34340075055178,2088,505.508540391922
20,177.3962547789839,1836,444.6832447052002
21,176.47774166119783,1920,463.62291622161865
22,175.5890571085472,1858,452.1501393318176
23,174.7722159688753,1852,452.3333601951599
24,173.97147120072202,1780,435.0227897167206
25,173.20315367358174,1744,416.7909812927246
26,172.44839930627188,1668,399.4480140209198
27,171.70445691541406,1681,403.3454735279083
28,171.04336764778716,1710,409.2051386833191
29,170.33658746463792,1424,344.79883098602295
30,169.63817597060535,1608,393.56551241874695
31,168.98997033905727,1545,385.0501244068146
32,168.36312653821068,1486,368.8726899623871
33,167.7702289707256,1495,366.8798785209656
34,167.1866688625816,1420,348.58550906181335
35,166.62445447617006,1362,331.2446868419647
36,166.072839251464,1394,336.00146770477295
37,165.563600639286,1493,358.0709431171417
38,165.05663181393953,1134,278.4854476451874
39,164.56702665795981,1284,320.2503664493561
40,164.0766353852397,1275,319.0752160549164
41,163.62045693425281,1188,301.5834233760834
42,163.15762289386024,1280,322.70011734962463
43,162.7103920636223,1111,283.18917989730835
44,162.25705297098978,1053,266.5487117767334
45,161.82512343644618,1239,309.4453709125519
46,161.39613186174046,1055,267.5318486690521
47,160.97657790966167,1113,280.63963508605957
48,160.57381425605666,977,250.82682013511658
49,160.15104992640036,1004,259.56659412384033
50,159.75131514366018,1043,270.6582281589508
