K,MSE,ITERATIONS,EXECUTION TIME
2,374.123699923039,1381,387.1926271915436
3,288.2913684999619,1553,426.1578884124756
4,248.52995941679364,2698,692.4933309555054
5,227.34251283340194,1980,554.2560663223267
6,210.4147238987589,1716,515.5678324699402
7,201.9108895052426,2024,604.2204475402832
8,197.2732427289418,2090,638.2640478610992
9,193.2312877876605,2294,704.1939713954926
10,190.04407993938588,2692,812.0701775550842
11,188.41742013199885,3191,945.3656759262085
12,186.90986835779609,3340,998.1980710029602
13,185.48882163077425,3595,1075.1656441688538
14,184.12810532886286,3562,1099.3581717014313
15,182.72910668385214,4005,1231.0701076984406
16,181.6054675590699,3787,1196.158837556839
17,180.60451595602018,3817,1235.9002544879913
18,179.58779839603505,3987,1312.4880287647247
19,178.5099102409581,4168,1375.39404296875
20,177.61664419706185,4336,1432.6505618095398
21,176.80240563529424,3846,1331.3830208778381
22,175.93908746891117,4231,1446.685908794403
23,175.1782047039051,4135,1440.497590303421
24,174.3320117576426,4134,1458.402428150177
25,173.63910900619047,4031,1453.2532074451447
26,172.8600365845091,4134,1492.9204552173615
27,172.01895780520576,3951,1467.0165827274323
28,171.50631408557965,4040,1518.3783903121948
29,170.7327726851862,4012,1529.5900633335114
30,170.23374860621047,3798,1496.5089428424835
31,169.5033010583835,3989,1560.6439611911774
32,168.73138476434133,4034,1588.164402961731
33,168.2774063683127,3891,1573.9267868995667
34,167.7011414760592,3803,1570.9845547676086
35,167.33277055323845,3804,1590.3592801094055
36,166.779925355694,3726,1593.16020154953
37,166.20760319888987,3960,1663.3002302646637
38,165.59752685549356,3773,1641.8069305419922
39,165.29920623654368,3846,1681.580604314804
40,164.7943819558618,3806,1713.4558644294739
41,164.23719358525906,3675,1724.3008208274841
42,163.90845336301288,3676,1712.6266450881958
43,163.2993674006772,3665,1716.9595139026642
44,163.0939465347634,3565,1811.758548259735
45,162.5655605043525,3454,1753.9747428894043
46,162.3254481840457,3633,1733.7998597621918
47,161.74868447524722,3761,1795.1980493068695
48,161.41311627058104,3532,1755.1571390628815
49,160.91392323462685,3570,1788.6057398319244
50,160.62164079490347,3587,1805.491919517517
