K,MSE,ITERATIONS,EXECUTION TIME
2,374.123699923039,1402,350.10706543922424
3,288.2913684999619,1677,405.6739253997803
4,248.52991040825754,2590,608.4882180690765
5,227.34241054135222,2150,511.9570481777191
6,210.4147238987589,1767,426.917138338089
7,201.9108895052426,1952,470.13224840164185
8,197.2733626975275,2252,542.1373996734619
9,193.23234739437447,2467,592.5031068325043
10,190.04436325510306,2775,653.3864414691925
11,188.42190873498373,3055,717.0860831737518
12,186.95167348729024,3322,778.812118768692
13,185.57985967876638,3724,870.3799366950989
14,184.060797456309,3632,849.9257547855377
15,182.74493881424456,3712,868.118456363678
16,181.59939357001969,3772,882.1698954105377
17,180.65570222489208,4216,983.8348224163055
18,179.65000203655126,3790,887.7884037494659
19,178.6835945508612,3927,919.8097615242004
20,177.7868123635924,4117,964.8424835205078
21,176.8025792626407,3984,935.1147377490997
22,176.0402493399634,4249,996.4523150920868
23,175.0871351978588,3959,935.5331373214722
24,174.46699498917252,4036,957.6299135684967
25,173.59723904494797,4270,1013.6868615150452
26,172.8639912721868,4121,978.9673292636871
27,172.12477244752756,4241,1006.2686412334442
28,171.5450204295558,4321,1026.868077993393
29,170.76237261488518,4249,1011.0926625728607
30,170.2530957850863,4078,974.0943057537079
31,169.7097974310331,4060,968.9684014320374
32,169.0267645205965,4181,997.5233623981476
33,168.65466370192507,3892,930.8325841426849
34,167.91823037372973,3908,935.1384828090668
35,167.2136851233579,4036,963.9712166786194
36,166.85564655731548,4016,960.2192969322205
37,166.4532015937191,3763,902.4402348995209
38,165.90949348248904,3899,933.8138949871063
39,165.47449025873294,3646,874.7422773838043
40,164.84081343265353,3724,893.8909273147583
41,164.31825357222425,3716,892.2861635684967
42,163.8361640746443,3565,57858.87222671509
43,163.6062947762037,3716,907.0717859268188
44,163.09476233534144,3758,906.4103376865387
45,162.69729049565834,3834,931.4436151981354
46,162.12619604568812,3689,904.5857675075531
47,161.8870026410421,3629,885.9047458171844
48,161.4415315166451,3501,849.0136411190033
49,160.88823333154966,3604,869.4818363189697
50,160.67899355635393,3485,842.2262020111084
