K,MSE,ITERATIONS,EXECUTION TIME
2,4847.366823872625,100,53.72727847099304
3,4846.366889320445,100,53.766555070877075
4,4845.372514085771,100,53.808557987213135
5,4844.379043500009,100,53.82078003883362
6,4843.378254032101,100,53.796013832092285
7,4842.377867820534,100,53.76355028152466
8,4841.380745660375,100,53.941259145736694
9,4840.369780661965,100,53.945958375930786
10,4839.370023656727,100,53.927645683288574
11,4838.372652226466,100,54.05842447280884
12,4837.36791568668,100,54.00021147727966
13,4836.371939555773,100,53.8248291015625
14,4835.375627697976,100,53.923701763153076
15,4834.373394974187,100,54.118961572647095
16,4833.3722176500905,100,54.88392639160156
17,4832.365360724481,100,54.55500054359436
18,4831.365274751069,100,54.69800281524658
19,4830.361053200311,100,54.57400178909302
20,4829.361370786022,100,54.64599680900574
21,4828.364006711551,100,54.603004455566406
22,4827.366937665602,100,54.656996965408325
23,4826.358304031622,100,54.539000511169434
24,4825.358810453799,100,54.39400053024292
25,4824.354046389781,100,54.596001386642456
26,4823.344811522495,100,54.664997816085815
27,4822.346270588668,100,55.5290048122406
28,4821.350115071459,100,55.087000370025635
29,4820.351438686721,100,54.555999517440796
30,4819.343905551837,100,54.603994846343994
31,4818.344365344894,100,54.84000015258789
32,4817.349908942089,100,54.849998474121094
33,4816.343889408703,100,54.941004037857056
34,4815.335276785059,100,54.883997201919556
35,4814.335586862474,100,55.09600210189819
36,4813.331480352979,100,54.97399973869324
37,4812.326773721654,100,54.928004026412964
38,4811.330923208542,100,55.03299522399902
39,4810.3308387103225,100,54.99400186538696
40,4809.329718714083,100,55.0079984664917
41,4808.331425311862,100,55.00200366973877
42,4807.332402513198,100,55.03299522399902
43,4806.333497144518,100,55.151000022888184
44,4805.334008452512,100,55.052000284194946
45,4804.338897345797,100,54.73439002037048
46,4803.335440249607,100,54.63041043281555
47,4802.33718511907,100,54.53709888458252
48,4801.343339860368,100,54.6343731880188
49,4800.330985564858,100,55.056941986083984
50,4799.3375144358115,100,54.98497676849365
