K,MSE,ITERATIONS,EXECUTION TIME
2,4847.36701227728,100,54.53200006484985
3,4846.360964524131,100,54.463000774383545
4,4845.354292466103,100,54.64899730682373
5,4844.352147069048,100,54.55504274368286
6,4843.349347778099,100,54.35299587249756
7,4842.349919182966,100,54.51300048828125
8,4841.345236321082,100,54.50200009346008
9,4840.345570546329,100,54.36900329589844
10,4839.3372030914525,100,54.48799538612366
11,4838.335918141211,100,54.40900015830994
12,4837.334644022794,100,54.51300096511841
13,4836.334680795795,100,54.44099974632263
14,4835.335467639287,100,54.533005475997925
15,4834.330878094108,100,54.512993812561035
16,4833.329762786407,100,54.66599988937378
17,4832.3299814928905,100,54.615999698638916
18,4831.330560057459,100,54.72099995613098
19,4830.323274368353,100,54.69400477409363
20,4829.322741746117,100,54.499001026153564
21,4828.3188903941955,100,54.799997091293335
22,4827.322402354363,100,54.51869606971741
23,4826.31903995219,100,54.26815438270569
24,4825.317673748391,100,54.29708456993103
25,4824.323380607968,100,54.40034747123718
26,4823.312257145324,100,54.49938488006592
27,4822.314155922178,100,54.50395202636719
28,4821.314379648966,100,54.322927474975586
29,4820.3191565622465,100,54.306077003479004
30,4819.322538757346,100,54.23273754119873
31,4818.325427117321,100,53.926454067230225
32,4817.327258071224,100,54.208951234817505
33,4816.326166333035,100,54.14399290084839
34,4815.33194995409,100,54.02275371551514
35,4814.32713576964,100,54.288532733917236
36,4813.322477210669,100,53.964202642440796
37,4812.317574671749,100,54.07032608985901
38,4811.316072328569,100,54.05512619018555
39,4810.315794165665,100,54.113083839416504
40,4809.307160065493,100,54.03845930099487
41,4808.307239118042,100,54.142921924591064
42,4807.29811890538,100,54.14773106575012
43,4806.298439277105,100,54.44285011291504
44,4805.296169574383,100,54.1876540184021
45,4804.2977788394055,100,54.14476823806763
46,4803.297323577505,100,54.20906686782837
47,4802.302119530175,100,54.2207396030426
48,4801.302143626295,100,54.94122838973999
49,4800.304128315329,100,58.52493405342102
50,4799.3055176928665,100,57.36716413497925
