K,MSE,ITERATIONS,EXECUTION TIME
2,4763.644004566968,1442,346.15717673301697
3,4702.8142020571395,2186,509.9348316192627
4,4659.698749788657,2386,550.2386286258698
5,4626.7926230123185,2094,509.7624406814575
6,4598.578458095793,2298,615.9635539054871
7,4582.142140065414,2225,587.9493415355682
8,4570.046124321828,2402,635.2700335979462
9,4558.190209454139,2478,654.3172404766083
10,4549.191879827156,2376,629.0167646408081
11,4544.000212687347,2690,711.466689825058
12,4539.193109050668,2504,664.9578423500061
13,4533.802626897876,2351,628.3971266746521
14,4529.968832585895,2252,604.3078279495239
15,4526.757615123873,2304,605.6981544494629
16,4524.349841941077,2255,593.2122128009796
17,4519.8370302515095,2416,634.8671081066132
18,4518.84283009069,2091,579.2658541202545
19,4514.434533471255,2124,585.0256803035736
20,4512.862935577879,2029,559.299601316452
21,4509.133091820024,1984,558.9690001010895
22,4508.040087396879,1945,544.8162875175476
23,4506.028801765931,2018,558.5235586166382
24,4502.384188191484,1948,537.5310842990875
25,4500.105599580511,1946,537.086813211441
26,4497.47061720776,1852,512.6005570888519
27,4495.6268594785315,1832,508.1608726978302
28,4494.441606210807,1762,491.82099628448486
29,4492.148479216118,1783,487.1323115825653
30,4489.840936658329,1712,474.0091972351074
31,4488.284957809576,1660,464.0989999771118
32,4487.012777897653,1805,495.88125467300415
33,4483.905681298768,1734,488.724924325943
34,4483.199197327573,1759,481.62357687950134
35,4481.570627536048,1603,441.45801734924316
36,4479.383455781008,1691,458.13305711746216
37,4477.340857163602,1644,447.0635175704956
38,4475.211300541416,1557,424.2647593021393
39,4472.417927139397,1554,422.7338161468506
40,4473.039033789618,1515,415.69857835769653
41,4471.106662283817,1582,438.36384415626526
42,4467.701671492267,1618,444.50136518478394
43,4468.295195755303,1550,424.32800340652466
44,4465.86831748797,1507,414.14599680900574
45,4463.753791963218,1481,405.67800211906433
46,4463.015622972631,1609,436.6139974594116
47,4461.174635105758,1485,406.3230011463165
48,4459.543660905679,1478,419.9070100784302
49,4459.280888479034,1426,415.6540002822876
50,4457.10527409777,1472,419.77192544937134
