K,MSE,ITERATIONS,EXECUTION TIME
2,1.0080980383797566e-07,1186,341.5925121307373
3,9.135025891282567e-08,1332,390.4066710472107
4,8.495038206213223e-08,2814,746.1828627586365
5,8.135713669421563e-08,1867,549.4250195026398
6,7.860818529437097e-08,2448,716.110612154007
7,7.706082938430114e-08,2540,748.299304485321
8,7.613928476590814e-08,2839,837.2202520370483
9,7.523274003773395e-08,2831,855.4778878688812
10,7.45799713097739e-08,2858,891.1081902980804
11,7.421857206590943e-08,2914,936.3905212879181
12,7.387146072623807e-08,3183,1002.64652967453
13,7.358451703520785e-08,3371,1067.9196965694427
14,7.334982865536688e-08,3060,1020.3473770618439
15,7.31508474904885e-08,3137,1071.8525395393372
16,7.291658488117747e-08,3464,1167.3084650039673
17,7.273259639006824e-08,3430,1181.304566860199
18,7.255254497184893e-08,3395,1198.0324342250824
19,7.236372423502502e-08,3284,1198.764939069748
20,7.220635644955564e-08,3391,1242.9381501674652
21,7.201822971314442e-08,3480,1297.647127866745
22,7.184665584691885e-08,3500,1223.5755650997162
23,7.171513982662248e-08,3318,1272.9459943771362
24,7.159833115277792e-08,3427,1297.9079973697662
25,7.143912283957832e-08,3245,1216.017834186554
26,7.130410950573207e-08,3370,1326.7000427246094
27,7.119863365545598e-08,3254,1343.3440237045288
28,7.107036414932821e-08,3213,1366.7655985355377
29,7.094488885250883e-08,3189,1368.8252680301666
30,7.081036446088262e-08,3261,1408.9624562263489
31,7.070529062236375e-08,3155,1400.7413046360016
32,7.059013185095608e-08,3262,1460.6077587604523
33,7.048139105680917e-08,3188,1494.7533886432648
34,7.033120508204149e-08,3025,1462.5907335281372
35,7.023528014737934e-08,3139,1476.743087530136
36,7.016845116059045e-08,3090,1488.0776073932648
37,7.005367941292917e-08,3084,1524.9654052257538
38,6.993869516858098e-08,3079,1525.4411051273346
39,6.985788314484154e-08,2967,1524.1489870548248
40,6.976265376490431e-08,3060,1574.1041295528412
41,6.963555776451358e-08,3034,1613.6036665439606
42,6.9543283465201e-08,2959,1661.384917974472
43,6.949639375086747e-08,2909,1798.6649224758148
44,6.939947061468388e-08,2945,1629.7420089244843
45,6.926936657603022e-08,3022,1648.7108218669891
46,6.921857798047881e-08,2833,1624.3737466335297
47,6.915951544783638e-08,2914,1677.7973699569702
48,6.906583038812641e-08,2923,1689.8780808448792
49,6.896277071621881e-08,2811,1692.7558121681213
50,6.888519588077457e-08,2711,1685.1195652484894
