K,MSE,ITERATIONS,EXECUTION TIME
2,1.0080980383797566e-07,1533,383.4892911911011
3,9.135001788340702e-08,1270,311.8471910953522
4,8.494999037544915e-08,2508,588.5998923778534
5,8.135713669421563e-08,1149,287.37254333496094
6,7.860818529437097e-08,815,210.02532863616943
7,7.706060234369261e-08,454,125.63620185852051
8,7.613891361835101e-08,269,84.1634783744812
9,7.523220291183463e-08,206,70.18337059020996
10,7.458251150005424e-08,128,52.583163022994995
11,7.422454118000132e-08,148,57.46664595603943
12,7.388062106539195e-08,203,70.46667695045471
13,7.385670530712929e-08,102,47.083229303359985
14,7.363137988214419e-08,160,60.516806840896606
15,7.359713194432516e-08,117,50.56660580635071
16,7.330116291726085e-08,205,70.9858946800232
17,7.313824457177986e-08,190,67.46821928024292
18,7.311010463695311e-08,133,54.24467134475708
19,7.295490600522925e-08,169,62.69362950325012
20,7.292994697039035e-08,128,53.142653703689575
21,7.290377368462941e-08,129,53.419419288635254
22,7.288098213820149e-08,127,53.031500816345215
23,7.265299339920261e-08,181,65.53223204612732
24,7.244573818621092e-08,227,76.14461016654968
25,7.241145649761194e-08,142,56.37840414047241
26,7.23809505664974e-08,129,53.38425016403198
27,7.221040898564013e-08,223,75.21701407432556
28,7.200708762589159e-08,229,76.75786995887756
29,7.198469698099785e-08,129,53.531227827072144
30,7.1803033963036e-08,141,56.350356578826904
31,7.162068005328592e-08,197,69.48286581039429
32,7.159951498358907e-08,126,52.91918182373047
33,7.147628378056936e-08,139,55.85866403579712
34,7.145318148271684e-08,128,53.43214774131775
35,7.133092527755736e-08,295,92.37978410720825
36,7.115923228440124e-08,329,100.48784494400024
37,7.113438826866769e-08,160,60.969489336013794
38,7.110532407317294e-08,130,54.008933782577515
39,7.108067745509317e-08,139,56.11938118934631
40,7.105686117281351e-08,132,54.47450280189514
41,7.096011855889373e-08,139,56.165632009506226
42,7.093408049829719e-08,133,54.74069142341614
43,7.077491570584016e-08,156,60.15098810195923
44,7.075219787822107e-08,128,55.806551694869995
45,7.071778773681814e-08,135,57.11885690689087
46,7.069645024948557e-08,131,56.21651291847229
47,7.067256979631509e-08,143,59.13378167152405
48,7.064795626288145e-08,137,57.68672299385071
49,7.062486939712898e-08,130,56.02830982208252
50,7.05931623157241e-08,119,53.403942346572876
