K,MSE,ITERATIONS,EXECUTION TIME
2,1.0080980383797566e-07,1480,474.87155628204346
3,9.135050438313641e-08,1265,382.72600173950195
4,8.494999037544915e-08,2254,641.6106686592102
5,8.135713669421563e-08,1138,336.21627736091614
6,7.860818529437097e-08,1087,321.3257386684418
7,7.70604394739749e-08,310,111.3610200881958
8,7.613907915260398e-08,223,88.86861276626587
9,7.523202605330681e-08,221,88.85128545761108
10,7.457888628881193e-08,206,84.01426196098328
11,7.424600767524936e-08,125,62.25015449523926
12,7.420915104638937e-08,507,167.350280046463
13,7.386387301799857e-08,283,106.79971361160278
14,7.38399027477854e-08,118,60.869595527648926
15,7.360739839867847e-08,158,72.91071438789368
16,7.357877340741226e-08,147,68.77570748329163
17,7.336729668239172e-08,179,70.1592149734497
18,7.319333839017617e-08,150,58.74731397628784
19,7.306335925161278e-08,233,78.19402432441711
20,7.30379636770806e-08,216,74.25427865982056
21,7.278449343228743e-08,267,88.33682656288147
22,7.276287028457062e-08,194,70.34646511077881
23,7.256263523380824e-08,224,76.30001544952393
24,7.253423051079011e-08,220,75.30011296272278
25,7.238874255577343e-08,266,86.03285431861877
26,7.23608829522604e-08,250,82.31660509109497
27,7.200179164001952e-08,215,74.19992685317993
28,7.197591234131551e-08,132,54.76881456375122
29,7.194928830500658e-08,127,53.6009521484375
30,7.19224595435719e-08,118,51.458263874053955
31,7.174294236467205e-08,175,64.88348174095154
32,7.169844706833572e-08,119,51.7998423576355
33,7.156148940090645e-08,154,60.12347149848938
34,7.1537894164031e-08,121,52.342050075531006
35,7.139160074220996e-08,134,55.370177030563354
36,7.137112900679199e-08,111,49.923227310180664
37,7.134845059209027e-08,119,51.8769268989563
38,7.132298163181616e-08,127,53.77725124359131
39,7.128375190124103e-08,135,55.66965126991272
40,7.125145962127988e-08,114,50.750205755233765
41,7.107017385710179e-08,147,58.56920552253723
42,7.097180698689698e-08,122,52.59757685661316
43,7.09426652978351e-08,150,59.19583749771118
44,7.091745213294587e-08,106,48.84259223937988
45,7.089802678272861e-08,114,50.69871735572815
46,7.078386521364166e-08,148,58.71261215209961
47,7.07625146256774e-08,117,51.781822681427
48,7.073948204983083e-08,117,51.50483512878418
49,7.07123715137925e-08,114,50.80594229698181
50,7.059804429943028e-08,134,55.616379499435425
