K,MSE,ITERATIONS,EXECUTION TIME
2,1.0080980383797566e-07,1229,301.7608301639557
3,9.13483441111751e-08,1457,347.83287525177
4,8.495038206213223e-08,2955,678.0829904079437
5,8.135713669421563e-08,2124,498.11586141586304
6,7.860818529437097e-08,2746,638.5319011211395
7,7.706102300719664e-08,2537,595.9219424724579
8,7.613944630335823e-08,2959,694.3840134143829
9,7.523369460749052e-08,3230,760.3354032039642
10,7.457901629592811e-08,3074,727.1074550151825
11,7.421889780534485e-08,3079,733.6724483966827
12,7.387256972801737e-08,2975,716.5956342220306
13,7.357932729767924e-08,3059,748.948755979538
14,7.336029694826607e-08,3339,809.5016944408417
15,7.313031691325023e-08,3322,797.2178919315338
16,7.291666670461439e-08,3258,784.3449790477753
17,7.27316161741598e-08,3353,803.8390710353851
18,7.255511602632936e-08,3415,818.8203363418579
19,7.239411181636513e-08,3399,816.8837776184082
20,7.221245601485293e-08,3266,785.7592513561249
21,7.205391461262423e-08,3335,803.633305311203
22,7.186106198986408e-08,3398,832.3596632480621
23,7.173320437647845e-08,3250,793.3294456005096
24,7.157532022628033e-08,3456,830.5719521045685
25,7.142340341381725e-08,3362,810.7205755710602
26,7.133152557514677e-08,3396,819.6788589954376
27,7.122149525695676e-08,3393,821.1366956233978
28,7.103697396981801e-08,3300,807.4856505393982
29,7.092117881857263e-08,3245,804.8056509494781
30,7.08384243486293e-08,3284,797.9999713897705
31,7.0642070637561e-08,3335,813.6709666252136
32,7.057249229447393e-08,3199,777.9459240436554
33,7.048634298456591e-08,3235,790.6772270202637
34,7.035583859948957e-08,3310,830.2387914657593
35,7.025985038211502e-08,3079,751.0990097522736
36,7.018133307834518e-08,3221,781.6901440620422
37,7.004604907212553e-08,3023,736.0044922828674
38,6.992768009084216e-08,3044,756.1614151000977
39,6.980370881315423e-08,3126,765.0606813430786
40,6.973944066679394e-08,2859,715.3624043464661
41,6.965262844271791e-08,3011,754.1749951839447
42,6.95582743626133e-08,3195,797.055810213089
43,6.94978740112262e-08,3017,739.6007256507874
44,6.937458596478763e-08,3020,740.7574849128723
45,6.928692064533948e-08,3000,737.4516272544861
46,6.919848583031296e-08,2960,728.8736634254456
47,6.909725280834778e-08,2868,706.0802476406097
48,6.904697891219058e-08,2849,702.2738955020905
49,6.896002346934438e-08,2845,701.5665817260742
50,6.889297676782036e-08,2796,691.3022773265839
