K,MSE,ITERATIONS,EXECUTION TIME
2,4763.644799491951,1412,417.81008648872375
3,4702.8142020571395,1930,577.7082204818726
4,4659.69847204474,2016,610.1771395206451
5,4626.789315462544,1864,598.0682649612427
6,4598.597466628321,2642,814.2451825141907
7,4582.132809905336,2453,790.4519076347351
8,4570.095308728046,2340,787.1201362609863
9,4558.2239205030255,2394,826.8115520477295
10,4549.198375817736,2660,912.0641124248505
11,4543.7261614216795,2489,878.5254821777344
12,4538.454355401402,2557,935.3365581035614
13,4533.669480869843,2426,943.722320318222
14,4530.7245183743435,2473,984.4716300964355
15,4527.391745334394,2271,954.9059975147247
16,4523.629955674131,2215,948.449456691742
17,4521.538510437958,2304,992.5786962509155
18,4517.991552133656,2140,971.694141626358
19,4515.480867218525,2068,966.0433733463287
20,4512.3556311567645,2093,1001.310310125351
21,4510.442272268466,2053,1006.6447403430939
22,4507.574540849985,2085,1023.6263363361359
23,4505.1292536744,1900,994.6569497585297
24,4503.9269350081995,1909,1030.4072268009186
25,4501.183019425758,1896,1041.0026564598083
26,4498.870211346782,1894,1059.830998659134
27,4496.386904299399,1929,1127.1590094566345
28,4494.015929523295,1827,1099.8706004619598
29,4492.241318846519,1688,1098.8865134716034
30,4490.855517323197,1830,1129.357304096222
31,4488.936557851733,1793,1078.6218655109406
32,4487.066155779746,1811,1196.017288684845
33,4485.344570089244,1712,1169.0184655189514
34,4484.057984394159,1704,1253.652593612671
35,4480.23566597776,1654,1290.6819281578064
36,4479.853429605342,1611,1343.988615989685
37,4478.452303052368,1606,1324.907676935196
38,4475.387169202813,1574,1308.660004377365
39,4474.685205113191,1682,1359.2464227676392
40,4472.177121897808,1544,1312.70964717865
41,4471.126740369859,1570,1322.4452056884766
42,4470.01382268587,1513,1331.9294850826263
43,4467.03825407852,1549,1366.2694115638733
44,4466.137356265734,1504,1379.8408212661743
45,4465.404807492985,1476,1396.7825956344604
46,4462.744501238807,1481,1419.4336178302765
47,4462.571492348686,1441,1401.70791721344
48,4459.474437557112,1453,1386.308364391327
49,4458.899090582999,1470,1391.7782752513885
50,4457.465232606289,1491,1445.1886038780212
