K,MSE,ITERATIONS,EXECUTION TIME
2,921250.033305008,844,248.99205112457275
3,760418.4831399715,1892,510.028608083725
4,677498.5633468169,2413,646.282303571701
5,617127.7965506036,2870,746.8041815757751
6,578095.6611650642,1799,473.01895809173584
7,560652.5508264313,2041,537.489547252655
8,547348.1496858696,2514,660.713879108429
9,535981.8244415328,2664,702.4660475254059
10,529415.510622183,2937,775.9661641120911
11,522915.2110387209,3103,821.5587933063507
12,517003.36765018705,2681,714.4340198040009
13,511262.60768876923,2402,643.7472512722015
14,506359.13856795593,2895,773.1412632465363
15,501929.8989434752,2382,641.3164069652557
16,498268.7084405883,2371,640.2388927936554
17,494769.1344751576,2051,557.6070778369904
18,491494.3660464046,2059,560.1066370010376
19,488309.47888574906,2137,581.6968476772308
20,485277.7254663119,2008,548.3959584236145
21,482513.6956860918,1903,521.4432814121246
22,480127.86428681074,1788,492.1422336101532
23,478013.3595139627,1577,440.6874101161957
24,475805.02350508666,1586,459.8014452457428
25,473629.2028252327,1736,518.3265442848206
26,471629.5393750648,1533,450.2988700866699
27,469787.44954047736,1566,459.1162600517273
28,467944.2937208541,1580,467.1362545490265
29,466153.1112861323,1629,482.32557821273804
30,464360.30624556134,1399,423.1584072113037
31,462640.3595128869,1467,442.2851793766022
32,460944.1437018961,1349,406.3941493034363
33,459366.6316903708,1383,408.64525079727173
34,457800.9370220371,1346,398.2199604511261
35,456272.59163332265,1317,391.56694173812866
36,454905.8902133982,1155,352.1367173194885
37,453597.8112820068,1136,344.6195855140686
38,452306.72253801784,1143,344.40512347221375
39,451012.18334426923,1060,324.5662088394165
40,449734.22019940685,1117,339.2788472175598
41,448438.6635106981,1077,326.54856276512146
42,447297.8706163125,894,276.4781036376953
43,446116.13944899413,881,271.96607065200806
44,444972.08936186566,984,300.2344636917114
45,443869.4262226094,837,263.7905135154724
46,442752.7495352592,867,273.113472700119
47,441688.9578757201,821,260.7462034225464
48,440543.0153331128,833,263.9396712779999
49,439502.0352822995,919,288.5046606063843
50,438472.9141357598,756,242.3878402709961
