K,MSE,ITERATIONS,EXECUTION TIME
2,921250.033305008,803,215.6206443309784
3,760418.4831399715,2155,512.661328792572
4,677498.5633468169,2487,581.4098048210144
5,617127.7965506036,2649,623.3521559238434
6,578096.3293207763,1738,427.18304681777954
7,560653.0635994084,2093,512.800580739975
8,547348.1795525688,2663,646.0298178195953
9,535981.18615252,3009,729.4348652362823
10,529415.0277159049,3436,824.5551393032074
11,522914.2052021379,2864,694.0485014915466
12,517008.09727628826,2487,605.9317512512207
13,511267.3373148705,2321,566.1124629974365
14,506364.027617528,2480,604.272623538971
15,501934.7879930474,2568,625.2504456043243
16,498270.2232922199,2094,514.1095519065857
17,494769.69916096865,2335,572.1274905204773
18,491509.5796920656,2086,515.1611828804016
19,488337.74283532175,1903,478.25671124458313
20,485315.7432497506,2008,502.9994511604309
21,482574.85999257024,1784,456.6827549934387
22,480232.1308992569,1796,460.14153599739075
23,477921.01281576056,1824,458.49018144607544
24,475824.78247146803,1597,401.766273021698
25,473725.2898780643,1713,432.39365696907043
26,471636.3081566993,1502,385.44648790359497
27,469829.5158504827,1679,431.2300522327423
28,468073.221043419,1435,371.0226249694824
29,466283.9980108752,1500,386.9882173538208
30,464588.14759467426,1528,392.11193442344666
31,462871.6151306985,1331,339.3520841598511
32,461266.75900214905,1132,292.03041434288025
33,459814.79239209223,1273,325.5009608268738
34,458187.52214728005,1331,339.14861273765564
35,456639.5834104575,1160,299.0182194709778
36,455214.6788807374,1040,271.02463817596436
37,453872.8937131016,1197,308.15008544921875
38,452491.8089854608,1201,309.43625235557556
39,451190.43813314184,1207,310.2640597820282
40,449904.7585963346,1123,291.9412944316864
41,448615.89241782157,940,247.6159543991089
42,447337.59240487934,1096,284.73325991630554
43,446112.4923301117,883,234.20022010803223
44,444924.99963100045,982,256.60345578193665
45,443773.8713332629,894,235.95575189590454
46,442679.67724190204,987,258.2075529098511
47,441539.2555581605,975,255.56758737564087
48,440427.3909810601,895,236.69351816177368
49,439307.22709812806,949,249.43930768966675
50,438188.79912616475,943,248.48294878005981
