K,MSE,ITERATIONS,EXECUTION TIME
2,921250.033305008,623,212.45063710212708
3,760418.52270834,1680,466.4316987991333
4,677498.5633468169,2142,590.6618294715881
5,617127.6509334181,2371,664.4033291339874
6,578096.2055816925,2180,645.8849537372589
7,560653.0952430596,2196,675.4873003959656
8,547351.3537997494,2507,782.3157408237457
9,535985.184769073,3188,950.898538351059
10,529417.2491981604,3392,1019.7623705863953
11,522921.20314951846,3533,1084.1811802387238
12,517011.3660946562,3689,1139.1541452407837
13,511354.3980675498,3908,1213.8476662635803
14,506373.6522253603,3925,1234.7304501533508
15,501949.42633997125,4041,1284.6182408332825
16,498291.1479690148,4236,1349.864394903183
17,494861.0904813205,4230,1367.0898761749268
18,491586.3027618042,4015,1338.8971061706543
19,488947.14703881915,4416,1453.3774900436401
20,486005.14799590234,4240,1432.6350810527802
21,483076.7594593535,4135,1424.9186902046204
22,480876.79033148754,4194,1460.2078413963318
23,478598.49114141846,4282,1502.5236558914185
24,476491.64887988335,4013,1457.880294084549
25,474292.2078782817,4292,1539.2816576957703
26,472404.5968514342,4131,1517.2557582855225
27,470962.4003304095,4087,1528.3599348068237
28,468603.0028980714,4288,1593.526137828827
29,467207.64912858454,4021,1554.2288229465485
30,465578.43910230877,3983,1566.3792281150818
31,463913.65764289635,3976,1580.2021565437317
32,462246.72538794245,3789,1561.217341184616
33,460880.80033132056,4029,1646.0310792922974
34,459496.9314592002,3738,1604.5497870445251
35,458371.26367383654,3959,1677.5893111228943
36,456633.6954230332,3786,1644.94109249115
37,455513.2717191861,3669,1632.717722415924
38,453326.2567971077,3905,1721.5192680358887
39,453042.852204607,3657,1673.1694016456604
40,451855.9876344773,3959,1760.9283950328827
41,450192.18414647796,3632,1707.9376664161682
42,449511.5307771475,3814,1774.7032542228699
43,448409.14774620935,3402,1708.5056931972504
44,446817.04881569627,3682,1788.642394065857
45,445996.72354229994,3562,1774.2348175048828
46,444953.2643889806,3513,1787.1671931743622
47,444100.2407048418,3709,1848.4017646312714
48,443083.0203267685,3481,1815.6111390590668
49,441672.1746081623,3443,1823.2521257400513
50,441063.3842927504,3519,1885.6418492794037
