K,MSE,ITERATIONS,EXECUTION TIME
2,3379.5090134276493,1066,274.49968433380127
3,3057.342020843128,1666,395.9998219013214
4,2860.467062824961,1387,330.42216515541077
5,2724.807884114661,1547,367.9885575771332
6,2602.584844549452,1365,328.23533868789673
7,2545.0770138851644,1682,400.68242144584656
8,2508.144024982917,1608,386.5792396068573
9,2472.1143477814394,1598,385.273246049881
10,2447.348458687901,1853,443.6946289539337
11,2432.963880851083,1931,463.88021445274353
12,2418.742889789284,1936,465.4164834022522
13,2405.8352723570256,1637,397.87008833885193
14,2393.843929484594,1650,400.7356460094452
15,2382.4701763544954,1610,395.0261583328247
16,2371.999531809016,1063,275.07884073257446
17,2362.078798111296,1125,289.89203333854675
18,2352.661284973864,926,243.08062195777893
19,2343.967105498189,1281,326.7042737007141
20,2335.534457757081,992,258.1005549430847
21,2327.5399961089315,1004,261.214834690094
22,2319.636644007591,1144,294.7139780521393
23,2312.1643877843485,1015,264.00814294815063
24,2305.3142467887383,863,226.1970272064209
25,2298.4269856006676,1109,276.99812507629395
26,2291.426243009949,1012,254.43497610092163
27,2284.897914378264,858,224.7838089466095
28,2278.4775308071326,743,199.11652660369873
29,2272.2810507122085,794,210.4521586894989
30,2266.2088846279603,773,206.3251655101776
31,2260.6673998534297,683,182.91541242599487
32,2255.3239208728364,557,151.1218490600586
33,2249.859080666304,558,153.71312308311462
34,2244.6386174481195,605,165.9255051612854
35,2239.2805406067973,577,157.8075876235962
36,2233.8891976102786,627,168.473956823349
37,2228.684016223503,854,223.9098048210144
38,2224.1022340425343,565,157.82480788230896
39,2219.474584441381,470,135.1663167476654
40,2214.608519398683,549,154.19092392921448
41,2209.818128511354,510,144.5780508518219
42,2205.015966451405,447,130.09860372543335
43,2200.502243814505,501,140.29054522514343
44,2196.423951332278,504,139.78666257858276
45,2192.3928614307933,459,132.76249241828918
46,2188.218991989298,550,154.1128716468811
47,2184.281942060878,371,111.73356437683105
48,2180.431356144427,504,141.45098733901978
49,2176.829146497706,401,117.35011839866638
50,2173.063929379487,386,111.81913995742798
