K,MSE,ITERATIONS,EXECUTION TIME
2,3379.5090134276493,1123,282.59773087501526
3,3057.342020843128,1531,358.2340316772461
4,2860.467062824961,1299,303.54840111732483
5,2724.8156213615466,1396,325.67291808128357
6,2602.5871546153157,1493,348.0462667942047
7,2545.0793239510285,1361,320.02569246292114
8,2508.144024982917,1312,310.2613685131073
9,2472.114657508761,1511,355.2044861316681
10,2447.3309275968213,1855,432.62965416908264
11,2433.022485135378,1946,453.795774936676
12,2418.7900310865716,1725,404.76046323776245
13,2405.8381711086536,1607,378.90230417251587
14,2393.6962034881,1677,394.1816072463989
15,2382.4211468253407,1497,353.89971947669983
16,2372.007064410592,1222,294.58776450157166
17,2362.058415543409,1393,330.9999611377716
18,2352.414737616421,1315,314.6274905204773
19,2343.491129640184,1403,333.2895083427429
20,2335.43994090786,907,223.17489337921143
21,2327.0607690415463,940,230.412456035614
22,2319.101589033996,961,235.3736605644226
23,2311.7416808915136,987,240.39878463745117
24,2304.527260265973,1106,266.9449951648712
25,2297.4489732920524,831,206.51984405517578
26,2290.4310739537405,1058,256.7627272605896
27,2283.9418451988786,817,203.3694031238556
28,2277.717700573727,1001,244.1683428287506
29,2271.8874229901166,794,198.82271909713745
30,2266.0326082344104,608,157.68142223358154
31,2260.6270989228183,693,176.4719638824463
32,2254.8935975425256,768,193.0522482395172
33,2249.2699756013944,734,185.58468747138977
34,2244.054653811889,679,173.01987671852112
35,2238.517343079091,640,164.86800050735474
36,2233.3040055344745,717,181.76007962226868
37,2228.450233939082,581,151.70183396339417
38,2223.736847555117,584,152.37668871879578
39,2218.842755903058,456,123.69505333900452
40,2214.383236494272,611,158.0975775718689
41,2209.760996194561,519,137.9583704471588
42,2205.2066755778387,626,161.4277322292328
43,2200.395113565214,596,154.61511945724487
44,2196.096627070653,470,126.9681282043457
45,2191.9504196229227,550,144.72972083091736
46,2188.062739256401,418,115.48500990867615
47,2183.967977428336,460,124.80272316932678
48,2180.3713311763904,456,124.1048526763916
49,2176.3214065712546,363,103.68331813812256
50,2172.386415048463,347,99.74495458602905
