K,MSE,ITERATIONS,EXECUTION TIME
2,3379.5090134276493,869,259.82809042930603
3,3057.342020843128,1351,378.24274373054504
4,2860.4602096975573,2250,591.0494403839111
5,2724.807884114661,1709,493.21653151512146
6,2602.585609130613,1695,515.0254263877869
7,2545.0820474262437,2184,641.2390336990356
8,2508.150196022565,2364,697.5690560340881
9,2472.132160779167,2532,764.429256439209
10,2447.3482399833024,2735,824.1552300453186
11,2432.965580934706,2953,902.9660260677338
12,2418.910205461826,3373,1026.616727590561
13,2405.8091488633218,3266,1020.4701545238495
14,2394.899475530702,3535,1087.036672115326
15,2383.7880177185643,3573,1094.534296989441
16,2373.0383099409887,3611,1124.1506490707397
17,2363.368385527455,3685,1161.5931234359741
18,2355.195863045053,3617,1163.2736237049103
19,2346.7946989300917,3688,1190.6970217227936
20,2338.898598487147,3606,1191.4916656017303
21,2329.835427352216,3487,1188.460057258606
22,2323.4724352945404,3617,1233.4173321723938
23,2313.57998492142,3428,1209.0567734241486
24,2308.4766873320714,3742,1301.4678461551666
25,2300.7583083345844,3613,1292.6200325489044
26,2295.0964213181655,3675,1325.520540714264
27,2289.0345032864484,3655,1340.4091017246246
28,2281.8787028450683,3510,1326.9062249660492
29,2277.025737550069,3498,1343.1985168457031
30,2270.4766042274787,3569,1377.9941670894623
31,2263.563591346226,3576,1395.1930050849915
32,2260.639673146402,3558,1418.4269993305206
33,2253.14685488334,3555,1436.8331153392792
34,2249.9560372644546,3656,1477.6769440174103
35,2242.375391667467,3609,1486.2901864051819
36,2239.357472268962,3313,1449.9184317588806
37,2234.2476081582813,3316,1474.4254965782166
38,2231.3183277304515,3402,1550.8281607627869
39,2225.6399157480196,3453,1567.1936559677124
40,2220.290301077948,3397,1582.0701005458832
41,2213.578743763539,3158,1545.3890986442566
42,2213.321809645833,3187,1571.4885110855103
43,2208.444158068246,3229,1588.1874935626984
44,2205.6159082721747,3278,1611.04611992836
45,2200.5216936567736,3189,1610.0936229228973
46,2196.740355137265,3223,1658.5522134304047
47,2191.4372185011653,3268,1668.4637320041656
48,2186.921066464245,3112,1658.422489643097
49,2185.5069765742624,3160,1692.337865114212
50,2181.9352030850855,3293,1715.4038293361664
